	VALUE
WALL_WIDTH	6
WALL_HEIGHT	6
MAX_STAGE	-1
CLAIM_PRIZE_COST	1
TEMPORARY_REWARD_EXPIRATION	28d
FIRST_RED_SKILL_STAGE	20
GRAND_PRIZE_UPGRADE_INTERVAL_FIRST	9
GRAND_PRIZE_UPGRADE_INTERVAL	10
GRAND_PRIZE_UPGRADE_INTERVAL_RED_FIRST	10
GRAND_PRIZE_UPGRADE_INTERVAL_RED	10
GRAND_PRIZE_WEIGHT_INITIAL	6
GRAND_PRIZE_WEIGHT_DELTA	5
GRAND_PRIZE_WEIGHT_RED_INITIAL	1
GRAND_PRIZE_WEIGHT_RED_DELTA	1
GRAND_PRIZE_REWARD_DIVISION_AMOUNT	1
GRAND_PRIZE_RED_INITIAL_STAR	6
GRAND_PRIZE_RED_AMOUNT	500
RESET_TOKENS_WHEN_INIT	FALSE
