	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARDS	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	EXTRA	GOOGLE_ID	APPLE_ID
1	MONTHLY_CARD	MONTHLY_CARD	0	monthly_card		120 PAID_DIAMONDS		OncePerDay & HasMonthlyCard	Always			
15	MONTHLY_CARD_CLAIMED	MONTHLY_CARD	99	monthly_card				MonthlyCardClaimed & HasMonthlyCard	Never			
16	MONTHLY_CARD_UNPURCHASED	MONTHLY_CARD	0	monthly_card	purchasing			!HasMonthlyCard	Never			
36	MEGA_MONTHLY_CARD	MEGA_MONTHLY_CARD	0	mega_monthly_card		400 PAID_DIAMONDS		OncePerDay & HasMegaMonthlyCard	Always			
37	MEGA_MONTHLY_CARD_CLAIMED	MEGA_MONTHLY_CARD	99	mega_monthly_card				MegaMonthlyCardClaimed & HasMegaMonthlyCard	Never			
38	MEGA_MONTHLY_CARD_UNPURCHASED	MEGA_MONTHLY_CARD	0	mega_monthly_card	purchasing			!HasMegaMonthlyCard & ServerHasMegaMonthlyCard	Never			
2	DAILY_STAMINA_1	FREE_STAMINA	2	free_stamina		[S] STAMINA		OncePerDay, StaminaTimeOfDay((10h))	StaminaTimeOfDay	minTimeOfDay=(12h)		
3	DAILY_STAMINA_2	FREE_STAMINA	2	free_stamina		[S] STAMINA		OncePerDay, StaminaTimeOfDay((16h)), !QuestUnlocked(2)	StaminaTimeOfDay	minTimeOfDay=(18h)		
4	DAILY_STAMINA_3	FREE_STAMINA	2	free_stamina		[S] STAMINA		OncePerDay, StaminaTimeOfDay((19h)), !QuestUnlocked(3), !QuestUnlocked(2)	StaminaTimeOfDay	minTimeOfDay=(21h)		
5	DAILY_RAID_TICKETS	DAILY_QUEST	1	daily_raid_tickets		[R] RAID_TICKET		OncePerDay, VIPFeatureAmount(DAILY_RAID_TICKETS, 1)	Always			
6	DAILY_CHESTS	DAILY_QUEST	3	chest_summons	chests	80 TEAM_XP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay	DailyUses(chest_any, 5)			
8	DAILY_CAMPAIGN	DAILY_QUEST	4	normal_campaign	campaign	120 TEAM_XP, [26000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay	DailyUses(campaign_any, 10)			
7	DAILY_SKILL_UPGRADE	DAILY_QUEST	5	upgrade_skills	skills	120 TEAM_XP, [26000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(SKILL_UPGRADE), HasSkillsToUpgrade	DailyUses(skill_upgrade, 3)			
9	DAILY_FIGHT_PIT	DAILY_QUEST	8	arena	arena	100 TEAM_XP, [26000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(FIGHT_PIT)	DailyUses(fightPit_any, 3)			
10	DAILY_ELITE_CAMPAIGN	DAILY_QUEST	7	elite_campaign	campaign/ELITE	150 TEAM_XP, [1+(L*0.025)] MISSION_SPEEDUP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasChapter(ELITE, 1)	DailyUses(campaign_elite, 3)			
11	DAILY_GOLD_BUY	DAILY_QUEST	8	alchemy	alchemy	40 TEAM_XP, [13000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(ALCHEMY)	DailyUses(buy_gold, 1)			
12	DAILY_PORT	DAILY_QUEST	9	port	port	100 TEAM_XP, [13000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(PORT)	DailyUses(port_any, 2)			
17	DAILY_MERCENARY	DAILY_QUEST	10	mercenary	jobBoard	20 TEAM_XP, [1+(L*0.025)] MISSION_SPEEDUP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(GUILDS), ExpeditionHeroTeamLevel	DailyUses(mercenary_post, 1)			
13	DAILY_TEAM_TRIALS	DAILY_QUEST	11	team_trials	teamTrials	100 TEAM_XP, [13000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(TEAM_TRIALS)	DailyUses(teamTrials_any, 3)			
14	DAILY_EXPEDITION	DAILY_QUEST	12	expedition	expedition	50 EXPEDITION_TOKENS, 50 TEAM_XP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(EXPEDITION)	DailyUses(expedition_any, 1)			
19	DAILY_CRYPT	DAILY_QUEST	13	creep_surge	surge	100 CRYPT_TOKENS, 50 TEAM_XP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(CRYPT_RAID)	DailyUses(surge, 1)			
18	DAILY_ENCHANTING	DAILY_QUEST	14	enchanting	enchanting	50 TEAM_XP, 1 VOID_DUST, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(ENCHANTING), HasGearToEnchant	DailyUses(enchanting, 1)			
20	DAILY_COLISEUM	DAILY_QUEST	15	coliseum	coliseum	50 TEAM_XP, [26000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(COLISEUM)	DailyUses(coliseumUse, 1)			
21	DAILY_FRIEND_MISSION	DAILY_QUEST	16	friend_mission	missions	50 TEAM_XP, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(MISSIONS)	DailyUses(friendMission_claim, 1)			
22	DAILY_FRIEND_CAMPAIGN	DAILY_QUEST	17	friend_campaign	friendFinder	25 TEAM_XP, [50+(1+7.446L)] GEAR_JUICE, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(FRIENDSHIPS), HasUnlockedFriendshipCampaign	DailyUses(friendCampaign_any, 1)			
23	DAILY_REAL_GEAR	DAILY_QUEST	18	real_gear	skills	25 TEAM_XP, [50+(1+7.446L)] GEAR_JUICE, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(FRIENDSHIPS), HasNonMaxLevelRealGear	DailyUses(realGearUpgrade, 1)			
24	DAILY_STAMINA_VIDEO_1	FREE_STAMINA	0	free_stamina		[S] STAMINA		Never	Never	minTimeOfDay=(12h), video=1		
25	DAILY_STAMINA_VIDEO_2	FREE_STAMINA	0	free_stamina		[S] STAMINA		Never	Never	minTimeOfDay=(18h), video=1		
26	DAILY_STAMINA_VIDEO_3	FREE_STAMINA	0	free_stamina		[S] STAMINA		Never	Never	minTimeOfDay=(21h), video=1		
27	DAILY_USE_MERC	DAILY_QUEST	10	use_merc	expedition	50 SOCIAL_BUCKS, [26000*(1+0.330L)] GOLD, [Q] QUEST_POINTS		OncePerDay, HasGuild, TeamLevel(30)	DailyUses(mercenary_hire, 1)			
28	DAILY_HEIST	DAILY_QUEST	13	heist	heist	200 HEIST_TOKENS, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		Never	Never			
29	DAILY_CHALLENGE	DAILY_QUEST	19	challenges	challenges	25 TEAM_XP, [50+(1+7.446L)] GEAR_JUICE, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(CHALLENGES), HasProgressableChallenge	DailyUses(challenge_progress, 1)			
30	DAILY_WAR	DAILY_QUEST	20	war_attack	war	[100+(1+7.446L)] GEAR_JUICE, 50 WAR_TOKENS, [Q] QUEST_POINTS		OncePerDay,  HasUnlockable(WAR),  WarCalimOptions	DailyUses(war_activity, 1)			
31	DAILY_MOD	DAILY_QUEST	21	mod	skills	[100+(150*L)] MOD_POWER, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(MODS), UserModsAtLevel(1), HasUnlockable(INVASION), HasModsToLevelUp	DailyUses(mod_level_up, 1)			
32	DAILY_INVASION_BREAKER	DAILY_QUEST	22	invasion_quest	invasion	5 BREAKER, 1 INVASION_EMPOWER_STONE, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(INVASION), HasActiveInvasion, !HasCompletedQuestToday(39)	DailyUses(invasion_stamina_spent, 60)			
33	DAILY_INVASION_BOSS	DAILY_QUEST	23	invasion_quest	invasion	900 BOSS_TECH, 1 INVASION_EMPOWER_STONE, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(INVASION), HasActiveInvasion, !HasCompletedQuestToday(40)	DailyUses(invasion_boss_attack, 3)			
34	DAILY_BUY_STAMINA	DAILY_QUEST	24	free_stamina	stamina	100 TEAM_XP, 100 GUILD_INFLUENCE, [26000*(1+0.330L)] GOLD, [Q] QUEST_POINTS		OncePerDay, TeamLevel(10)	DailyUses(buy_stamina, 1)			
35	DAILY_COLLECTION	DAILY_QUEST	25	collection_quest	collections	[26000*(1+0.330L)] GOLD, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(COLLECTIONS), HasEnoughCollectionHeroes	DailyUses(collection_progress, 5)			
39	DAILY_INVASION_BREAKER	DAILY_QUEST	22	invasion_quest	invasion	100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(INVASION), DailyUses(invasion_stamina_spent, 60), !HasActiveInvasion, !HasCompletedQuestToday(32)	DailyUses(invasion_stamina_spent, 60)			
40	DAILY_INVASION_BOSS	DAILY_QUEST	23	invasion_quest	invasion	100 GUILD_INFLUENCE, [Q] QUEST_POINTS		OncePerDay, HasUnlockable(INVASION), DailyUses(invasion_boss_attack, 3), !HasActiveInvasion, !HasCompletedQuestToday(33)	DailyUses(invasion_boss_attack, 3)			
41	DAILY_FRANCHISE_TRIALS	DAILY_QUEST	11	patch	teamTrials	100 GUILD_INFLUENCE, [Q] QUEST_POINTS,1 SKILL_POINT_CONSUMABLE		OncePerDay, HasUnlockable(FRANCHISE_TRIALS)	DailyUses(major_merge_trials_completed, 1) & DailyUses(unity_trials_completed, 1)			
42	DAILY_TEMP_NEW_BP_HERO_EXP	DAILY_QUEST	1	collecting_heroes	expedition	100 GUILD_INFLUENCE, [Q] QUEST_POINTS, 1 BADGE_CHEST_1X		OncePerDay, AmountOfTimeAfterBattlePass((9d))	DailyUses(expedition_battlepass,10)			
43	DAILY_TEMP_NEW_BP_HERO_PIT	DAILY_QUEST	1	collecting_heroes	arena	100 GUILD_INFLUENCE, [Q] QUEST_POINTS, 1 BADGE_CHEST_1X		Never	DailyUses(fightPit_battlepass,3)			
44	DAILY_TEMP_NEW_BP_HERO_CAMP	DAILY_QUEST	1	collecting_heroes	campaign	100 GUILD_INFLUENCE, [Q] QUEST_POINTS, 1 BADGE_CHEST_1X		OncePerDay, AmountOfTimeAfterBattlePass((9d))	DailyUses(campaign_battlepass,25)			
98	DAILY_CAMPAIGN	DAILY_QUEST	4	normal_campaign	campaign	120 TEAM_XP, 3 EXP_FLASK, 100 GUILD_INFLUENCE, [Q] QUEST_POINTS		Never	DailyUses(campaign_any, 10)			
45	DAILY_VIDEO_AD	DAILY_QUEST	10	tv	airdrop	5000 RAID_TICKET		OncePerDay, HasChapter(NORMAL, 25)	DailyUses(video_claims,3) 			
1000	TEAM_LEVEL_5	ACHIEVEMENT	2	team_level		1 STONE_RALPH		Once	TeamLevel(5)			TEAM_LEVEL_5
1001	TEAM_LEVEL_10	ACHIEVEMENT	2	team_level		2 STONE_VANELLOPE	1000	Once,FollowUp,HasTeamLevel(10)	TeamLevel(10)			TEAM_LEVEL_10
