	COST
1	25
2	50
3	75
4	100
5	150
6	200
7	250
8	300
9	350
10	400
11	450
12	500
13	550
14	600
15	650
16	700
17	750
18	800
19	850
20	900
21	933
22	966
23	1,000
24	1,033
25	1,066
26	1,100
27	1,133
28	1,166
29	1,200
30	1,233
31	1,266
32	1,300
33	1,333
34	1,366
35	1,400
36	1,433
37	1,466
38	1,500
39	1,533
40	1,566
41	1,600
42	1,633
43	1,666
44	1,700
45	1,733
46	1,766
47	1,800
48	1,833
49	1,866
50	1,900
51	1,933
52	1,966
53	2,000
54	2,033
55	2,066
56	2,100
57	2,133
58	2,166
59	2,200
60	2,233
61	2,266
62	2,300
63	2,333
64	2,366
65	2,400
66	2,500
67	2,600
68	2,700
69	2,800
70	2,900
71	3,000
72	3,100
73	3,200
74	3,300
75	3,400
76	3,500
77	3,600
78	3,700
79	3,800
80	3,900
81	4,000
82	4,100
83	4,200
84	4,300
85	4,400
86	4,500
87	4,600
88	4,700
89	4,800
90	4,900
91	5,000
92	5,100
93	5,200
94	5,300
95	5,400
96	5,500
97	5,600
98	5,700
99	5,800
100	5,900
101	5,900
102	5,900
103	5,900
104	5,900
105	5,900
106	5,900
107	5,900
108	5,900
109	5,900
110	5,900
111	5,900
112	5,900
113	5,900
114	5,900
115	5,900
116	5,900
117	5,900
118	5,900
119	5,900
120	5,900
121	5,900
122	5,900
123	5,900
124	5,900
125	5,900
126	5,900
127	5,900
128	5,900
129	5,900
130	5,900
131	5,900
132	5,900
133	5,900
134	5,900
135	5,900
136	5,900
137	5,900
138	5,900
139	5,900
140	5,900
141	6,100
142	6,300
143	6,500
144	6,700
145	6,900
146	7,100
147	7,300
148	7,500
149	7,700
150	7,900
151	8,100
152	8,300
153	8,500
154	8,700
155	8,900
156	9,100
157	9,300
158	9,500
159	9,700
160	9,900
161	10,100
162	10,300
163	10,500
164	10,700
165	10,900
166	11,100
167	11,300
168	11,500
169	11,700
170	11,900
171	12,100
172	12,300
173	12,500
174	12,700
175	12,900
176	13,100
177	13,300
178	13,500
179	13,700
180	13,900
181	14,100
182	14,300
183	14,500
184	14,700
185	14,900
186	15,100
187	15,300
188	15,500
189	15,700
190	15,900
191	16,100
192	16,300
193	16,500
194	16,700
195	16,900
196	17,100
197	17,300
198	17,500
199	17,700
200	17,900
201	18,100
202	18,300
203	18,500
204	18,700
205	18,900
206	19,100
207	19,300
208	19,500
209	19,700
210	19,900
211	20,100
212	20,300
213	20,500
214	20,700
215	20,900
216	21,100
217	21,300
218	21,500
219	21,700
220	21,900
221	22,100
222	22,300
223	22,500
224	22,700
225	22,900
226	23,100
227	23,300
228	23,500
229	23,700
230	23,900
231	24,100
232	24,300
233	24,500
234	24,700
235	24,900
236	25,100
237	25,300
238	25,500
239	25,700
240	25,900
241	26,100
242	26,300
243	26,500
244	26,700
245	26,900
246	27,100
247	27,300
248	27,500
249	27,700
250	27,900
251	28,100
252	28,300
253	28,500
254	28,700
255	28,900
256	29,100
257	29,300
258	29,500
259	29,700
260	29,900
261	30,100
262	30,300
263	30,500
264	30,700
265	30,900
266	31,100
267	31,300
268	31,500
269	31,700
270	31,900
271	32,100
272	32,300
273	32,500
274	32,700
275	32,900
276	33,100
277	33,300
278	33,500
279	33,700
280	33,900
281	34,100
282	34,300
283	34,500
284	34,700
285	34,900
286	35,100
287	35,300
288	35,500
289	35,700
290	35,900
291	36,100
292	36,300
293	36,500
294	36,700
295	36,900
296	37,100
297	37,300
298	37,500
299	37,700
300	37,900
301	38,100
302	38,300
303	38,500
304	38,700
305	38,900
306	39,100
307	39,300
308	39,500
309	39,700
310	39,900
311	40,100
312	40,300
313	40,500
314	40,700
315	40,900
316	41,100
317	41,300
318	41,500
319	41,700
320	41,900
321	42,100
322	42,300
323	42,500
324	42,700
325	42,900
326	43,100
327	43,300
328	43,500
329	43,700
330	43,900
331	44,100
332	44,300
333	44,500
334	44,700
335	44,900
336	45,100
337	45,300
338	45,500
339	45,700
340	45,900
341	46,100
342	46,300
343	46,500
344	46,700
345	46,930
346	47,160
347	47,390
348	47,620
349	47,850
350	48,080
351	48,310
352	48,540
353	48,770
354	49,000
355	49,230
356	49,460
357	49,690
358	49,920
359	50,150
360	50,380
361	50,610
362	50,840
363	51,070
364	51,300
365	51,530
366	51,760
367	51,990
368	52,220
369	52,450
370	52,680
371	52,910
372	53,140
373	53,370
374	53,600
375	53,830
376	54,060
377	54,290
378	54,520
379	54,750
380	54,980
381	55,210
382	55,440
383	55,670
384	55,900
385	56,130
386	56,360
387	56,590
388	56,820
389	57,050
390	57,280
391	57,510
392	57,740
393	57,970
394	58,200
395	58,430
396	58,660
397	58,890
398	59,120
399	59,350
400	59,580
401	59,810
402	60,040
403	60,270
404	60,500
405	60,730
406	60,960
407	61,190
408	61,420
409	61,650
410	61,880
411	62,110
412	62,340
413	62,570
414	62,800
415	63,030
416	63,260
417	63,490
418	63,720
419	63,950
420	64,180
421	64,410
422	64,640
423	64,870
424	65,100
425	65,330
426	65,560
427	65,790
428	66,020
429	66,250
430	66,480
431	66,710
432	66,940
433	67,170
434	67,400
435	67,630
436	67,860
437	68,090
438	68,320
439	68,550
440	68,780
441	69,010
442	69,240
443	69,470
444	69,700
445	69,930
446	70,160
447	70,390
448	70,620
449	70,850
450	71,080
451	71,310
452	71,540
453	71,770
454	72,000
455	72,230
456	72,460
457	72,690
458	72,920
459	73,150
460	73,380
461	73,610
462	73,840
463	74,070
464	74,300
465	74,530
466	74,760
467	74,990
468	75,220
469	75,450
470	75,680
471	75,910
472	76,140
473	76,370
474	76,600
475	76,830
476	77,060
477	77,290
478	77,520
479	77,750
480	77,980
481	78,210
482	78,440
483	78,670
484	78,900
485	79,130
486	79,360
487	79,590
488	79,820
489	80,050
490	80,280
491	80,510
492	80,740
493	80,970
494	81,200
495	81,430
496	81,660
497	81,890
498	82,120
499	82,350
500	82,580
501	82,810
502	83,040
503	83,270
504	83,500
505	83,730
506	83,960
507	84,190
508	84,420
509	84,650
510	84,880
511	85,110
512	85,340
513	85,570
514	85,800
515	86,030
516	86,260
517	86,490
518	86,720
519	86,950
520	87,180
521	87,410
522	87,640
523	87,870
524	88,100
525	88,330
526	88,560
527	88,790
528	89,020
529	89,250
530	89,480
531	89,710
532	89,940
533	90,170
534	90,400
535	90,630
536	90,860
537	91,090
538	91,320
539	91,550
540	91,780
541	92,010
542	92,240
543	92,470
544	92,700
545	92,930
546	93,160
547	93,390
548	93,620
549	93,850
550	94,080
551	94,310
552	94,540
553	94,770
554	95,000
555	95,230
556	95,460
557	95,690
558	95,920
559	96,150
560	96,380
561	96,610
562	96,840
563	97,070
564	97,300
