	EQUIP_HERO	GIFTING_HERO	COLOR	TAGS	LEVEL_TAGS	STAR_TAGS
CALHOUN_ENERGY	CALHOUN	FELIX	GOLD	MAX_HP_INCREASE,ARMOR_INCREASE,ENERGY_SELF	MAX_HP_INCREASE,ARMOR_INCREASE	ENERGY_SELF
CALHOUN_SHIELDS	CALHOUN	VIOLET	RED	SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE	SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE	SHIELD_TEAM
NICK_WILDE_CHARM	NICK_WILDE	YAX	BLUE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,CHARM	MAX_HP_INCREASE,SKILL_POWER_INCREASE	CHARM
NICK_WILDE_SHIELD	NICK_WILDE	JUDY_HOPPS	PURPLE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE,SHIELD_TEAM	MAX_HP_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE	SHIELD_TEAM
FELIX_ANGER	FELIX	RALPH	RED	MAX_HP_INCREASE,ATTACK_SPEED_INCREASE	MAX_HP_INCREASE	ATTACK_SPEED_INCREASE
FELIX_FREEZE	FELIX	FROZONE	GOLD	SKILL_POWER_INCREASE,FREEZE	SKILL_POWER_INCREASE	FREEZE
FINNICK_VAN	FINNICK	NICK_WILDE	GREEN	NORMAL_DAMAGE,ENERGY_SELF	NORMAL_DAMAGE	ENERGY_SELF
FINNICK_ENERGY	FINNICK	JUDY_HOPPS	RED	MAX_HP_INCREASE,ENERGY_REMOVAL	MAX_HP_INCREASE	ENERGY_REMOVAL
VANELLOPE_SLOW	VANELLOPE	DASH	RED	MAX_HP_INCREASE,TRUE_DAMAGE	MAX_HP_INCREASE	TRUE_DAMAGE
VANELLOPE_BACKLINE	VANELLOPE	MERIDA	GREEN	MAX_HP_INCREASE,SHIELD_TEAM	MAX_HP_INCREASE	SHIELD_TEAM
JUDY_HOPPS_REVIVE	JUDY_HOPPS	CHIEF_BOGO	ORANGE	MAX_HP_INCREASE,NORMAL_CRIT_NCREASE,REVIVE_SELF,ATTACK_SPEED_INCREASE,INVINCIBLE	MAX_HP_INCREASE,NORMAL_CRIT_NCREASE,REVIVE_SELF	ATTACK_SPEED_INCREASE,INVINCIBLE
JUDY_HOPPS_SUPPORT	JUDY_HOPPS	FELIX	GOLD	MAX_HP_INCREASE,DAMAGE_INCREASE	MAX_HP_INCREASE	DAMAGE_INCREASE
VIOLET_STUN	VIOLET	RALPH	GOLD	MAX_HP_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE,STUN	MAX_HP_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE	STUN
