	GOLD_PRICE	TOKEN_PRICE	DIAMOND_PRICE
GOLD	1	0.00125	0.0002
GEAR_JUICE	999999999	999999999	0.05
STAMINA	999999999	999999999	0.4285714286
DIAMONDS	999999999	999999999	1
FREE_DIAMONDS	999999999	999999999	999999999
PAID_DIAMONDS	999999999	999999999	999999999
TEAM_XP	999999999	999999999	999999999
SILVER_CHEST	999999999	999999999	999999999
GOLD_CHEST	999999999	999999999	999999999
SOCIAL_CHEST	999999999	999999999	999999999
SOUL_CHEST	999999999	999999999	999999999
CRYPT_TOKENS	999999999	1	999999999
VIP_TICKETS	999999999	1	999999999
EXPEDITION_TOKENS	999999999	1	999999999
SKILL_POINTS	999999999	1	999999999
FIGHT_TOKENS	999999999	1	999999999
COLISEUM_TOKENS	999999999	1	999999999
FRIEND_STAMINA	999999999	999999999	1.666666667
SOCIAL_BUCKS	999999999	1.666666667	999999999
GUILD_INFLUENCE	999999999	999999999	999999999
HEIST_TOKENS	999999999	1	999999999
HEIST_TICKETS	999999999	250	999999999
WAR_TOKENS	999999999	1	999999999
MEMORY_TOKENS	999999999	1	999999999
CHALLENGE_TOKENS	999999999	1	999999999
GEAR_TOKENS	999999999	1	999999999
MOD_POWER	999999999	999999999	999999999
INVASION_STAMINA	999999999	15	3
BREAKER	999999999	150	30
BOSS_TECH	999999999	1	999999999
MASTERY_TOKENS	999999999	1	999999999
GUILD_CONTEST_POINTS	999999999	999999999	999999999
CITY_WATCH_EPIC_KEYS	999999999	999999999	999999999
CITY_WATCH_RESETS	999999999	999999999	999999999
GUILD_DONATION_REQUEST_HERO_XP	999999999	999999999	999999999
GUILD_DONATION_REQUEST_SKILL	999999999	999999999	999999999
GUILD_DONATION_REQUEST_STAMINA	999999999	999999999	999999999
QUEST_POINTS	999999999	999999999	999999999
COSMETIC_COLLECTION_POINTS	999999999	999999999	999999999
COMP_COSMETIC_POINTS	999999999	999999999	999999999
COLISEUM_KEYS	999999999	999999999	999999999
FIGHT_PIT_KEYS	999999999	999999999	999999999
PRIZE_TOKENS	999999999	999999999	999999999
NEW_MODS	999999999	999999999	999999999
