	COST
1	0
2	100
3	500
4	1,000
5	1,500
6	2,000
7	2,500
8	3,000
9	3,500
10	4,000
11	4,500
12	5,000
13	5,500
14	6,000
15	6,500
16	7,000
17	7,500
18	8,000
19	8,500
20	9,000
21	9,500
22	10,000
23	10,500
24	11,000
25	11,500
26	12,000
27	12,500
28	13,000
29	13,500
30	14,000
31	14,500
32	15,000
33	15,500
34	16,000
35	16,500
36	17,000
37	17,500
38	18,000
39	18,500
40	19,000
41	19,500
42	20,000
43	21,000
44	22,000
45	23,000
46	24,000
47	25,000
48	26,000
49	27,000
50	28,000
51	29,000
52	30,000
53	31,000
54	32,000
55	33,000
56	34,000
57	35,000
58	36,000
59	37,000
60	38,000
61	39,000
62	40,000
63	41,000
64	42,000
65	43,000
66	44,000
67	45,000
68	46,000
69	47,000
70	48,000
71	49,000
72	50,000
73	51,000
74	52,000
75	53,000
76	54,000
77	55,000
78	56,000
79	57,000
80	58,000
81	59,000
82	60,000
83	61,000
84	62,000
85	63,000
86	64,000
87	67,000
88	67,000
89	70,000
90	73,000
91	76,000
92	79,000
93	82,000
94	85,000
95	88,000
96	91,000
97	94,000
98	97,000
99	100,000
100	103,000
101	106,000
102	109,000
103	112,000
104	115,000
105	118,000
106	121,000
107	124,000
108	127,000
109	130,000
110	133,000
111	136,000
112	139,000
113	142,000
114	145,000
115	148,000
116	151,000
117	154,000
118	157,000
119	160,000
120	163,000
121	166,000
122	169,000
123	172,000
124	175,000
125	178,000
126	181,000
127	184,000
128	187,000
129	190,000
130	193,000
131	199,000
132	205,000
133	211,000
134	217,000
135	223,000
136	229,000
137	235,000
138	241,000
139	247,000
140	253,000
141	259,000
142	265,000
143	271,000
144	277,000
145	283,000
146	289,000
147	295,000
148	301,000
149	307,000
150	313,000
151	319,000
152	325,000
153	331,000
154	337,000
155	343,000
156	349,000
157	355,000
158	361,000
159	367,000
160	373,000
161	379,000
162	385,000
163	391,000
164	397,000
165	403,000
166	409,000
167	415,000
168	421,000
169	427,000
170	433,000
171	439,000
172	445,000
173	451,000
174	457,000
175	463,000
176	469,000
177	475,000
178	481,000
179	487,000
180	493,000
181	499,000
182	505,000
183	511,000
184	517,000
185	523,000
186	529,000
187	535,000
188	541,000
189	547,000
190	553,000
191	559,000
192	565,000
193	571,000
194	577,000
195	583,000
196	589,000
197	595,000
198	601,000
199	607,000
200	613,000
201	619,000
202	625,000
203	631,000
204	637,000
205	643,000
206	649,000
207	655,000
208	661,000
209	667,000
210	673,000
211	679,000
212	685,000
213	691,000
214	697,000
215	703,000
216	709,000
217	715,000
218	721,000
219	727,000
220	733,000
221	739,000
222	745,000
223	751,000
224	757,000
225	763,000
226	769,000
227	775,000
228	781,000
229	787,000
230	793,000
231	799,000
232	805,000
233	811,000
234	817,000
235	823,000
236	829,000
