	DAYS	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	1	180	6	RED_9	680	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
1	2	180	6	RED_9	680	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
1	3	180	6	RED_9	680	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
1	4	180	6	RED_9	680	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
1	5	180	6	RED_9	680	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
1	6	180	6	RED_9	680	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
1	7	180	6	RED_9	680	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
2	1	190	6	RED_11	710	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
2	2	190	6	RED_11	710	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
2	3	190	6	RED_11	710	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
2	4	190	6	RED_11	710	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
2	5	190	6	RED_11	710	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
