	BUY_AMT	DAILY_CHECK_IN	REGEN_AMOUNT	REGEN_INTERVAL	HARD_CAP	WEEKLY_QUEST_REWARD_PER_TIER
R1	120	60	1	6 m	20,000	0
R7	384	65	7	6 m	23,036	288
R8	419	70	8	6 m	25,111	314
R9	637	106	11	6 m	38,199	477
R10	683	114	12	6 m	41,004	513
R11	948	158	16	6 m	56,884	711
R12	977	163	17	6 m	58,590	732
R13	1,006	168	18	6 m	60,348	754
R14	1,036	173	19	6 m	62,158	777
R15	1,051	175	20	6 m	63,032	788
R16	1,281	213	21	6 m	76,851	961
R17	1,558	260	26	6 m	93,478	1,168
R18	1,561	260	27	6 m	93,657	1,171
R19	1,750	292	29	6 m	105,019	1,313
R20	1,890	315	32	6 m	113,420	1,418
R21	1,979	330	33	6 m	118,719	1,484
R22	2,051	342	34	6 m	123,033	1,538
R23	2,427	405	40	6 m	145,647	1,821
R24	2,766	461	46	6 m	165,979	2,075
R25	2,942	490	49	6 m	176,512	2,206
R26	3,019	503	50	6 m	181,168	2,265
R27	3,291	549	55	6 m	197,473	2,468
R28	3,362	600	56	6 m	201,736	2,522
R29	3,503	670	58	6 m	210,156	2,627
R30	4,074	740	68	6 m	244,420	3,055
R31	4,276	810	71	6 m	256,553	3,207
R32	4,394	880	73	6 m	263,658	3,296
R33	4,646	950	77	6 m	278,765	3,485
R34	4,673	1,030	78	6 m	280,388	3,505
R35	5,266	1,110	88	6 m	315,972	3,950
R36	5,302	1,200	90	6 m	318,121	3,977
R37	5,799	1,290	97	6 m	347,952	4,349
R38	6,190	1,390	103	6 m	371,406	4,643
R39	6,362	1,490	106	6 m	381,724	4,772
R40	6,832	1,600	114	6 m	409,904	5,124
R41	7,216	1,710	120	6 m	432,980	5,412
R42	7,362	1,830	123	6 m	441,691	5,521
R43	7,877	1,950	131	6 m	472,605	5,908
R44	9,236	2,080	154	6 m	554,145	6,927
R45	9,476	2,210	158	6 m	568,578	7,107
R46	10,656	2,350	178	6 m	639,386	7,992
R47	11,575	2,490	193	6 m	694,486	8,681
R48	13,722	2,640	229	6 m	823,325	10,292
R49	15,286	2,805	255	6 m	917,157	11,464
R50	15,711	2,987	262	6 m	942,662	11,783
R51	17,854	3,187	298	6 m	1,071,246	13,391
R52	21,523	3,587	359	6 m	1,291,376	16,142
R53	23,477	3,913	391	6 m	1,408,615	17,608
R54	24,131	4,022	402	6 m	1,447,865	18,098
R55	28,101	4,684	468	6 m	1,686,085	21,076
R56	36,305	6,051	605	6 m	2,178,277	27,228
R57	43,372	7,229	723	6 m	2,602,305	32,529
R58	46,331	7,722	772	6 m	2,779,878	34,748
R59	49,054	8,176	818	6 m	2,943,233	36,790
R60	67,970	11,328	1,133	6 m	4,078,218	50,978
R61	81,630	13,605	1,361	6 m	4,897,810	61,223
R62	82,421	13,737	1,374	6 m	4,945,251	61,816
R63	86,252	14,375	1,438	6 m	5,175,093	64,689
R64	99,008	16,501	1,650	6 m	5,940,500	74,256
R65	141,337	23,556	2,356	6 m	8,480,201	106,003
R66	163,941	27,323	2,732	6 m	9,836,450	122,956
R67	504,950	320,910	16,105	6 m	145,000,000	618,895
R68	510,050	353,000	17,720	6 m	160,000,000	680,785
R69	515,200	388,300	19,490	6 m	175,000,000	748,860
R70	520,405	427,130	21,440	6 m	195,000,000	823,750
R71	525,660	469,840	23,580	6 m	215,000,000	906,125
R72	530,970	516,825	25,940	6 m	240,000,000	996,735
R73	536,448	568,510	28,535	6 m	265,000,000	1,096,410
R74	541,810	625,360	31,390	6 m	300,000,000	1,206,050
R75	547,225	687,895	34,530	6 m	330,000,000	1,326,655
R76	552,695	756,685	37,980	6 m	365,000,000	1,459,320
R77	558,220	832,355	41,775	6 m	400,000,000	1,605,255
R78	563,800	915,590	45,955	6 m	440,000,000	1,765,780
R79	569,440	1,007,145	50,550	6 m	485,000,000	1,942,355
R80	575,135	1,107,860	55,605	6 m	535,000,000	2,136,590
R81	580,885	1,218,650	61,165	6 m	590,000,000	2,350,250
R82	586,695	1,827,975	91,750	6 m	650,000,000	3,525,375
R83	592,560	2,010,770	100,925	6 m	715,000,000	3,877,915
R84	598,485	3,317,770	166,525	6 m	785,000,000	6,398,555
R85	604,470	3,815,435	191,505	6 m	865,000,000	7,358,340
R86	610,515	4,387,750	220,230	6 m	950,000,000	8,462,090
R87	616,620	5,045,915	253,260	6 m	1,045,000,000	9,731,405
R88	622,785	5,802,800	291,250	6 m	1,150,000,000	11,191,115
R89	629,015	6,673,220	334,940	6 m	1,265,000,000	12,869,785
R90	635,305	7,474,005	375,130	6 m	1,390,000,000	14,414,155
R91	641,660	8,445,630	423,900	6 m	1,530,000,000	16,287,995
R92	648,075	9,712,470	487,485	6 m	1,685,000,000	18,731,195
R93	654,555	11,169,345	560,605	6 m	1,855,000,000	21,540,875
R94	661,100	12,844,745	644,695	6 m	2,040,000,000	24,772,010
R95	667,710	14,129,220	709,165	6 m	2,140,000,000	27,249,210
R96	674,385	16,248,600	815,540	6 m	2,470,000,000	31,336,590
R97	944,138	20,310,755	1,019,430	6 m	2,715,000,000	39,170,735
R98	1,038,555	27,419,515	1,376,230	6 m	2,985,000,000	52,880,495
R99	20,771,100	548,390,320	27,524,555	6 m	59,700,000,000	1,057,609,905
R100	22,848,210	603,229,355	30,277,010	6 m	65,670,000,000	1,163,370,900
R101	25,133,030	723,875,225	36,332,410	6 m	72,235,000,000	1,396,045,080
R102	27,646,335	796,262,750	39,965,650	6 m	79,460,000,000	1,535,649,585
