	RANK
ALADDIN	1
ELSA	1
RAPUNZEL	1
MEGAVOLT	1
BAYMAX	1
EVIL_QUEEN	1
STITCH	1
REX	1
RANDALL_BOGGS	1
KERMIT	1
DUKE_CABOOM	2
HERCULES	2
CAPTAIN_HOOK	2
MR_BIG_AND_KOSLOV	2
LINGUINI_AND_REMY	2
MAGICA_DE_SPELL	2
JESSIE	2
JACK_SPARROW	2
KING_LOUIE	2
MERIDA	2
KIM_POSSIBLE	2
IAN_LIGHTFOOT	2
GIZMODUCK	2
MAXIMUS	2
KIDA	2
GOLIATH	2
RAFIKI	2
GONZO	2
MEGAVOLT	2
EVIL_QUEEN	2
MULAN	2
SCROOGE_MCDUCK	2
OLAF	2
SALLY	2
JASMINE	2
BELLE	2
MIGUEL	2
ALADDIN	2
DONALD_DUCK	2
TIGGER	2
MUSHU	2
SHAN_YU	2
LI_SHANG	2
HADES	2
ROBIN_HOOD	2
JACK_SKELLINGTON	2
WINNIE_THE_POOH	3
POCAHONTAS	5
MALEFICENT	6
DARKWING_DUCK	7
JOY	9
RAPUNZEL	10
HUEY_DEWEY_LOUIE	11
FROZONE	12
MERLIN	13
TIMON_AND_PUMBAA	14
REX	15
WOODY	16
BUZZ	17
GENIE	18
HUEY_DEWEY_LOUIE	20
FROZONE	21
MERLIN	22
TIMON_AND_PUMBAA	23
REX	24
WOODY	25
BUZZ	26
GENIE	27
RAPUNZEL	28
HUEY_DEWEY_LOUIE	29
FROZONE	30
MERLIN	31
TIMON_AND_PUMBAA	32
REX	33
WOODY	34
BUZZ	35
GENIE	36
RAPUNZEL	37
HUEY_DEWEY_LOUIE	38
FROZONE	39
MERLIN	40
TIMON_AND_PUMBAA	41
REX	42
WOODY	43
BUZZ	44
GENIE	45
RAPUNZEL	46
HUEY_DEWEY_LOUIE	47
FROZONE	48
MERLIN	49
TIMON_AND_PUMBAA	50
REX	51
WOODY	52
BUZZ	53
GENIE	54
RAPUNZEL	55
HUEY_DEWEY_LOUIE	56
FROZONE	57
MERLIN	58
TIMON_AND_PUMBAA	59
REX	60
WOODY	61
BUZZ	62
GENIE	63
RAPUNZEL	64
HUEY_DEWEY_LOUIE	65
FROZONE	66
MERLIN	67
TIMON_AND_PUMBAA	68
REX	69
WOODY	70
BUZZ	71
GENIE	72
RAPUNZEL	73
HUEY_DEWEY_LOUIE	74
FROZONE	75
MERLIN	76
TIMON_AND_PUMBAA	77
REX	78
WOODY	79
BUZZ	80
GENIE	81
RAPUNZEL	82
SYNDROME	83
MOANA	84
SCAR	85
URSULA	86
DR_DRAKKEN	87
