	Base	Max	Min	DisplayOrder	DisplayGroup	DisplayFormat	DisplayLogic
BASIC_DAMAGE	0		0	1	CORE	NORMAL	ALWAYS
SKILL_POWER	0		0	2	CORE	NORMAL	ALWAYS
HP_MAX	0		1	3	CORE	NORMAL	ALWAYS
ENERGY_MAX	1000		1000	4	CORE	NORMAL	ALWAYS
HP_REGEN	0		0	100	OTHER	NORMAL	IF_NOT_ZERO
ENERGY_REGEN	0		0	101	OTHER	NORMAL	IF_NOT_ZERO
ENERGY_STARTING	0		0	102	OTHER	NORMAL	IF_NOT_ZERO
ENERGY_GAIN_SCALAR	1			103	OTHER	PERCENT	IF_NOT_BASE
ARMOR	0			104	OTHER	NORMAL	IF_NOT_ZERO
ARMOR_SUBTRACTION_TEMP	0		0	105	OTHER	NORMAL	NEVER
REALITY	0			106	OTHER	NORMAL	IF_NOT_ZERO
REALITY_SUBTRACTION_TEMP	0		0	107	OTHER	NORMAL	NEVER
ARMOR_NEGATION	0		0	108	OTHER	NORMAL	IF_NOT_ZERO
REALITY_NEGATION	0		0	109	OTHER	NORMAL	IF_NOT_ZERO
NORMAL_CRIT	0		0	110	OTHER	NORMAL	IF_NOT_ZERO
FANTASTIC_CRIT	0		0	111	OTHER	NORMAL	IF_NOT_ZERO
CRIT_DAMAGE	0		0	112	OTHER	NORMAL	IF_NOT_ZERO
NORMAL_PROWESS	0		0	113	OTHER	NORMAL	IF_NOT_ZERO
FANTASTIC_PROWESS	0		0	114	OTHER	NORMAL	IF_NOT_ZERO
NORMAL_CRIT_SCALAR	2			115	OTHER	PERCENT	NEVER
FANASTIC_CRIT_SCALAR	2			116	OTHER	PERCENT	NEVER
NORMAL_SUPER_CRIT_SCALAR	3			117	OTHER	PERCENT	NEVER
FANASTIC_SUPER_CRIT_SCALAR	3			118	OTHER	PERCENT	NEVER
TENACITY	0			119	OTHER	NORMAL	IF_NOT_ZERO
EVASION	0			120	OTHER	NORMAL	IF_NOT_ZERO
FURY	90			121	OTHER	NORMAL	NEVER
CONSERVATION	0	0.75		122	OTHER	PERCENT	IF_NOT_ZERO
IMPROVED_HEALING	0	5		123	OTHER	PERCENT	IF_NOT_ZERO
COOLDOWN_REDUCTION	0	0.5		124	OTHER	PERCENT	IF_NOT_ZERO
BONUS_BASIC_DAMAGE	0			125	OTHER	NORMAL	IF_NOT_ZERO
ATTACK_SPEED_SCALAR	1	3	0.01	126	OTHER	PERCENT	IF_NOT_BASE
MOVEMENT_SPEED_SCALAR	1	3	0.01	127	OTHER	PERCENT	IF_NOT_BASE
STUN_LENGTH_SCALAR	1		0.01	128	OTHER	PERCENT	IF_NOT_BASE
SILENCE_LENGTH_SCALAR	1		0.01	129	OTHER	PERCENT	IF_NOT_BASE
DISABLE_LENGTH_SCALAR	1		0.01	130	OTHER	PERCENT	IF_NOT_BASE
SHIELD_SIZE_SCALAR	1		0.01	131	OTHER	PERCENT	IF_NOT_BASE
SHIELD_SIZE_ADDER	0			132	OTHER	NORMAL	IF_NOT_ZERO
SHIELD_LENGTH_SCALAR	1		0.01	133	OTHER	PERCENT	IF_NOT_BASE
NORMAL_DAMAGE_DONE_SCALAR	1		0	134	OTHER	PERCENT	IF_NOT_BASE
FANTASTIC_DAMAGE_DONE_SCALAR	1		0	135	OTHER	PERCENT	IF_NOT_BASE
TRUE_DAMAGE_DONE_SCALAR	1		0	136	OTHER	PERCENT	IF_NOT_BASE
ALL_DAMAGE_DONE_SCALAR	1		0	137	OTHER	PERCENT	IF_NOT_BASE
NORMAL_DAMAGE_TAKEN_SCALAR	1		0	138	OTHER	PERCENT	IF_NOT_BASE
FANTASTIC_DAMAGE_TAKEN_SCALAR	1		0	139	OTHER	PERCENT	IF_NOT_BASE
ALL_DAMAGE_TAKEN_SCALAR	1		0	140	OTHER	PERCENT	IF_NOT_BASE
DAMAGE_REDUCTION	0	1	0	141	OTHER	PERCENT	IF_NOT_BASE
ADDITIONAL_CRIT_CHANCE	0			142	OTHER	NORMAL	IF_NOT_ZERO
STUDY_LENGTH_SCALAR	1		0	143	OTHER	PERCENT	IF_NOT_BASE
MOVEMENT_SPEED_SCALAR_STRENGTH	1			144	OTHER	PERCENT	NEVER
ATTACK_SPEED_SCALAR_STRENGTH	1			145	OTHER	PERCENT	NEVER
MOVEMENT_SPEED_DEBUFF_SCALAR_STRENGTH	1			146	OTHER	PERCENT	NEVER
ATTACK_SPEED_DEBUFF_SCALAR_STRENGTH	1			147	OTHER	PERCENT	NEVER
FANTASTIC_CRIT_NEGATION	0	100	0	148	OTHER	PERCENT	IF_NOT_ZERO
NORMAL_CRIT_NEGATION	0	100	0	149	OTHER	PERCENT	IF_NOT_ZERO
