	VALUE
WHATS_NEW_URL	https://perblue.helpshift.com/a/disney-heroes/?s=general&f=what-s-new&l=en
FAQ_URL	perblue.helpshift.com/a/disney-heroes/?han=1&l=en
FACEBOOK_HOMEPAGE_URL	https://www.facebook.com/DisneyHeroesBattleMode/
FACEBOOK_PAGE_ID	158633564795946
DISCOURSE_AUTH_URL	https://discourse.disneyheroesgame.com/pbjwt/go.html
DISCOURSE_COMMUNITY	/
LOST_ACCOUNT_FAQ	https://perblue.helpshift.com/a/disney-heroes/?han=1&l=en&s=accounts-and-billing&f=how-do-i-find-a-lost-account
TERMS_OF_SERVICE	http://perblue.com/disneyheroes/terms/
DISCORD	https://discord.com/invite/jU2TKmjqqv
PATCH_NOTES	https://perblue.helpshift.com/hc/en/3-disney-heroes/section/146-patch-notes/?p=web
