	EXP_TO_NEXT_LEVEL	MAX_HERO_LEVEL	MAX_STAMINA	STAMINA_GAIN_ON_LEVEL	POOL_EXP_PER_STAMINA
1	18	10	120	0	1
2	25	11	120	20	1
3	25	11	120	20	1
4	30	12	120	20	1
5	30	12	120	20	1
6	30	13	120	20	2
7	50	13	120	25	2
8	80	14	120	25	2
9	100	14	120	25	2
10	130	15	120	25	2
11	130	15	120	25	3
12	130	16	120	30	3
13	130	16	120	30	3
14	130	17	120	30	3
15	130	17	120	30	3
16	130	18	120	30	4
17	130	19	120	30	4
18	130	20	120	30	4
19	130	21	120	30	4
20	130	22	120	30	4
21	160	23	120	30	5
22	190	24	120	30	5
23	220	24	120	30	5
24	250	25	120	30	5
25	280	25	120	30	5
26	310	26	120	40	6
27	340	27	120	40	6
28	370	28	120	40	6
29	430	29	120	40	6
30	500	30	120	40	6
31	575	31	120	50	7
32	650	32	120	50	7
33	725	33	120	50	7
34	800	34	120	50	7
35	900	35	120	50	7
36	1,100	36	120	60	8
37	1,200	37	120	60	8
38	1,300	38	120	60	8
39	1,400	39	120	60	8
40	1,500	40	120	60	8
41	1,600	41	120	70	9
42	1,700	42	120	70	9
43	1,800	43	120	70	9
44	1,900	44	120	70	9
45	2,000	45	120	70	9
46	2,100	46	120	80	10
47	2,200	47	120	80	10
48	2,300	48	120	80	10
49	2,400	49	120	80	10
50	2,500	50	120	80	10
51	2,600	51	211	90	11
52	2,700	52	211	90	11
53	2,800	53	211	90	11
54	2,900	54	211	90	11
55	3,000	55	211	90	11
56	3,100	56	211	100	12
57	3,200	57	211	100	12
58	3,300	58	211	100	12
59	3,400	59	211	100	12
60	3,500	60	211	100	12
61	3,600	61	366	110	13
62	3,700	62	366	110	13
63	3,800	63	366	110	13
64	3,900	64	366	110	13
65	4,000	65	366	110	13
66	4,100	66	366	120	14
67	4,300	67	366	120	14
68	4,500	68	366	120	14
69	4,700	69	366	120	14
70	4,900	70	366	120	14
71	5,100	71	438	130	15
72	5,300	72	438	130	15
73	5,500	73	438	130	15
74	5,700	74	438	130	15
75	5,900	75	438	130	15
76	6,100	76	498	140	16
77	6,300	77	498	140	16
78	6,500	78	498	140	16
79	7,000	79	498	140	16
80	7,500	80	498	140	16
81	8,000	81	698	150	17
