	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	15	1	WHITE	165	ESPORTS_ARENA_4	MR_INCREDIBLE,JACK_JACK	CHIEF_BOGO,DASH	MR_INCREDIBLE,[boss]NICK_WILDE
2	21	1	GREEN	190	ESPORTS_ARENA_4	MR_INCREDIBLE,DASH,JACK_JACK	MR_INCREDIBLE,NICK_WILDE,DASH,FINNICK	[boss]MR_INCREDIBLE,CHIEF_BOGO,JACK_JACK,NICK_WILDE,FINNICK
3	27	1	GREEN_1	215	ESPORTS_ARENA_4	CHIEF_BOGO,ELASTIGIRL,NICK_WILDE	MR_INCREDIBLE,JACK_JACK,FROZONE,YAX	MR_INCREDIBLE,ELASTIGIRL,[boss]NICK_WILDE,JUDY_HOPPS,YAX
4	38	2	BLUE	231	ESPORTS_ARENA_4	MR_INCREDIBLE,NICK_WILDE,DASH	CHIEF_BOGO,DASH,NICK_WILDE,JUDY_HOPPS	MR_INCREDIBLE,JACK_JACK,ELASTIGIRL,[boss]YAX,VIOLET
5	49	2	BLUE_1	247	ESPORTS_ARENA_4	CHIEF_BOGO,NICK_WILDE,DASH	CHIEF_BOGO,ELASTIGIRL,NICK_WILDE,DASH	CHIEF_BOGO,MR_INCREDIBLE,ELASTIGIRL,JACK_JACK,[boss]YAX
6	60	2	PURPLE	265	ESPORTS_ARENA_4	MR_INCREDIBLE,JACK_JACK,FROZONE	MR_INCREDIBLE,NICK_WILDE,DASH,YAX	MR_INCREDIBLE,JACK_JACK,NICK_WILDE,[boss]VIOLET,FROZONE
7	70	3	PURPLE_1	290	ESPORTS_ARENA_4	CHIEF_BOGO,ELASTIGIRL,YAX	MR_INCREDIBLE,DASH,JUDY_HOPPS,VIOLET	[boss]MR_INCREDIBLE,CHIEF_BOGO,NICK_WILDE,JUDY_HOPPS,YAX
8	80	4	PURPLE_2	315	ESPORTS_ARENA_4	MR_INCREDIBLE,DASH,ELASTIGIRL	MR_INCREDIBLE,DASH,VIOLET,JUDY_HOPPS	CHIEF_BOGO,ELASTIGIRL,[boss]JACK_JACK,FROZONE,FINNICK
9	90	5	PURPLE_3	340	ESPORTS_ARENA_4	MR_INCREDIBLE,CHIEF_BOGO,ELASTIGIRL	MR_INCREDIBLE,NICK_WILDE,DASH,JUDY_HOPPS	[boss]MR_INCREDIBLE,CHIEF_BOGO,ELASTIGIRL,DASH,NICK_WILDE
10	95	5	PURPLE_4	365	ESPORTS_ARENA_4	BAYMAX,ELASTIGIRL,EVE	SULLEY,NICK_WILDE,EVE,MERIDA	MR_INCREDIBLE,EVE,JACK_SPARROW,FROZONE,MICKEY_MOUSE
11	100	5	ORANGE	390	ESPORTS_ARENA_4	MAUI,CHIEF_BOGO,MIKE	MAUI,MIKE,MERIDA,TIA_DALMA	MAUI,JACK_JACK,MERIDA,HECTOR_BARBOSSA,MICKEY_MOUSE
12	105	5	ORANGE_1	415	ESPORTS_ARENA_4	CHIEF_BOGO,NICK_WILDE,ELASTIGIRL	SULLEY,NICK_WILDE,DASH,MOANA	SULLEY,DASH,ELASTIGIRL,JACK_SPARROW,FROZONE
13	110	5	ORANGE_2	440	ESPORTS_ARENA_4	SULLEY,CHIEF_BOGO,JACK_SPARROW	SULLEY,CHIEF_BOGO,MIKE,WALL_E	CHIEF_BOGO,HECTOR_BARBOSSA,EVE,ELASTIGIRL,DASH
14	115	6	ORANGE_3	455	ESPORTS_ARENA_4	MR_INCREDIBLE,DASH,NICK_WILDE	BAYMAX,EVE,MERIDA,YAX	SULLEY,HECTOR_BARBOSSA,ROBIN_HOOD,VIOLET,WALL_E
15	120	6	ORANGE_4	470	ESPORTS_ARENA_4	CHIEF_BOGO,JACK_SPARROW,NICK_WILDE	SULLEY,JACK_JACK,FROZONE,MALEFICENT	BAYMAX,MR_INCREDIBLE,MIKE,MOANA,NICK_WILDE
16	125	6	ORANGE_5	485	ESPORTS_ARENA_4	MAUI,MIKE,HECTOR_BARBOSSA	CHIEF_BOGO,BAYMAX,MIKE,EVE	MR_INCREDIBLE,SULLEY,NICK_WILDE,VIOLET,MIGUEL
17	130	6	ORANGE_6	500	ESPORTS_ARENA_4	MR_INCREDIBLE,CHIEF_BOGO,JACK_SPARROW	SULLEY,ELASTIGIRL,MERIDA,TIA_DALMA	BAYMAX,MR_INCREDIBLE,DASH,EVE,NICK_WILDE
18	135	6	ORANGE_7	515	ESPORTS_ARENA_4	SULLEY,BAYMAX,WALL_E	SULLEY,MR_INCREDIBLE,EVE,JUDY_HOPPS	DASH,MIKE,EVE,NICK_WILDE,JACK_JACK
19	140	6	ORANGE_8	530	ESPORTS_ARENA_4	BAYMAX,JACK_SPARROW,YAX	CHIEF_BOGO,NICK_WILDE,MIKE,JUDY_HOPPS	BAYMAX,SULLEY,JACK_SPARROW,ELASTIGIRL,HIRO
20	145	6	RED	545	ESPORTS_ARENA_4	MAUI,JACK_JACK,TIA_DALMA	BAYMAX,CHIEF_BOGO,MOANA,HECTOR_BARBOSSA	BAYMAX,SULLEY,MIKE,DASH,VIOLET
21	150	6	RED_1	560	ESPORTS_ARENA_4	CHIEF_BOGO,JACK_JACK,MOANA	SULLEY,CHIEF_BOGO,HECTOR_BARBOSSA,MALEFICENT	MR_INCREDIBLE,MERIDA,MIKE,JACK_SPARROW,MOANA
22	155	6	RED_2	575	ESPORTS_ARENA_4	MR_INCREDIBLE,JACK_SPARROW,NICK_WILDE	CHIEF_BOGO,MIKE,FINNICK,JUDY_HOPPS	BAYMAX,DASH,MERIDA,BEAST,HUEY_DEWEY_LOUIE
23	160	6	RED_3	590	ESPORTS_ARENA_4	BAYMAX,HECTOR_BARBOSSA,TIA_DALMA	MAUI,HECTOR_BARBOSSA,MIKE,FINNICK	MAUI,MOANA,JACK_SPARROW,HECTOR_BARBOSSA:STUDY,KEVIN_FLYNN
24	165	6	RED_4	605	ESPORTS_ARENA_4	CHIEF_BOGO,HECTOR_BARBOSSA,TIA_DALMA	MR_INCREDIBLE:ARMOR_SHREAD,DASH,MIKE:STUNS,MIGUEL	MAUI:BITE,MIKE,EVE:DISABLE_SPREAD,JACK_SPARROW,DASH
25	170	6	RED_5	620	ESPORTS_ARENA_4	MAUI,EVE,MALEFICENT	MR_INCREDIBLE,ELASTIGIRL,EVE,NICK_WILDE	SULLEY:TEAM_HEAL,NICK_WILDE,HECTOR_BARBOSSA:STUDY,MOANA,KEVIN_FLYNN
