	SHARD_PRINCESS_FINDER	SHARD_JAR_OF_MARS	SHARD_ESCAPE_PLAN	SHARD_RASPBEARY_CAKE	SHARD_REEL_FREDS_RECYCLED_BOXERS	SHARD_LUCKY_EARS	SHARD_CUTEING_STAR	SHARD_CROWN_OF_THE_WILD_FRONTIER	SHARD_REEL_WHALE_OF_A_TALE	SHARD_NACO	SHARD_BADGE_OF_ACCOMPLISHMENT	SHARD_BLUE_UMBRELLA	SHARD_SAFARI_HAT	SHARD_VICTORIOUS_URN	SHARD_BULLIES_ARE_GROSS	SHARD_ROMANTIC_BOAT_RIDE	SHARD_BADGE_OF_INTIMIDATION	SHARD_GREAT_STAR	SHARD_SQUISHY	SHARD_WATER_MUSIC	SHARD_MELODYS_NECKLACE	SHARD_MARK_OF_THE_GUARD	SHARD_SPRIG_TIME	SHARD_POTION_PROTECTION	SHARD_WALK_LIKE_AN_ELEPHANT	SHARD_BEANSTALK	SHARD_PREHISTORIC_RODENTS	SHARD_MAD_PURSUIT	SHARD_TRAVELERS_KIT	SHARD_KINDERGARTENERS	SHARD_ESCAPE_BALLOON	SHARD_FLOATING_CRYSTALS	SHARD_BLACK_CAULDRON	SHARD_PAPAYA_THE_SPIRIT_GUIDE	SHARD_SHADOW_DEMONS	SHARD_CHORETIME_FUNTIME	SHARD_QUIET_COYOTE	SHARD_NEW_NEIGHBOR_INCOMING	SHARD_LETTUCE	SHARD_PEEPERS	SHARD_COVER_BLOWN	SHARD_SKULLSHIP	SHARD_INNER_MONOLOGUE	SHARD_MADAME_LEOTA	SHARD_ICE_SCREAM	SHARD_NACHOS	SHARD_BADGE_OF_HUGS	SHARD_BROS_ONLY	SHARD_DANCING_SNAKE	SHARD_REVOLUTIONARY_RAT_WAR	SHARD_MAMA_COCO	SHARD_PRACTICE_NEEDED	SHARD_EVEN_SMALLER_TOY	SHARD_MULE_MUSIC	SHARD_HOOTY	SHARD_WORM_ABS	SHARD_PLATINUM_LOVELY_BUNCH_OF_COCONUTS	SHARD_PLATINUM_EXTRACT_OF_LLAMA	SHARD_PLATINUM_PIRATE_HAT	SHARD_PLATINUM_LAWNMOWER_REMOTE	SHARD_PLATINUM_HOT_DOG	SHARD_PLATINUM_CURSED_COIN	SHARD_PLATINUM_LOCKED_DOOR	SHARD_PLATINUM_DRUM_LINE	SHARD_PLATINUM_TOUGH_PETAL	SHARD_PLATINUM_GOLDEN_SUN	SHARD_PLATINUM_COMMANDERS_CREST	SHARD_PLATINUM_RED_UMBRELLA	SHARD_PLATINUM_HAPPY_MILKSHAKE	SHARD_PLATINUM_HOLD_THE_LINE	SHARD_PLATINUM_LOST_AND_FOUND	SHARD_PLATINUM_FEARAMID	SHARD_PLATINUM_FOREST_SPIRIT	SHARD_PLATINUM_WATER_MUSIC	SHARD_PLATINUM_ROYAL_DOULTON_BOWL	SHARD_PLATINUM_MOVEABLE_COAT_RACK	SHARD_PLATINUM_INTERDIMENSIONAL_DOOR	SHARD_PLATINUM_ARLOS_ROCK	SHARD_PLATINUM_BEARS_NATURAL_HABITAT	SHARD_PLATINUM_ITTY_BIDDY	SHARD_PLATINUM_TIME_OF_LEARNING	SHARD_PLATINUM_PAPER_CUTOUT	SHARD_PLATINUM_BUGGY_INVENTION	SHARD_PLATINUM_SEA_URCHIN	SHARD_PLATINUM_BEANSTALK	SHARD_PLATINUM_PERRY	SHARD_PLATINUM_KREBBS	SHARD_PLATINUM_SCAREDY_ELEPHANT	SHARD_PLATINUM_HOCKEY_ISLAND	SHARD_PLATINUM_BEAGLE_BOYS	SHARD_PLATINUM_MAP	SHARD_PLATINUM_HERCULES_STATUE	SHARD_PLATINUM_BLAZEY	SHARD_PLATINUM_CINNAMON_ROLL	SHARD_PLATINUM_ONE_JUMP_AHEAD	SHARD_PLATINUM_HIT_THE_GONG	SHARD_PLATINUM_ARENDELLE_CASTLE	SHARD_PLATINUM_TAKE_A_WALK	SHARD_PLATINUM_UGLY_DUCKLING	SHARD_PLATINUM_HONEST_JOHN	SHARD_
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2-3	1-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2-3	1-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2-3	1-2	1-2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2-3	1-2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2-3	1-2	2-3	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3-4	2-3	3-4	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
