	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	15	1	WHITE	165	ESPORTS_ARENA_5	FELIX,VANELLOPE,FINNICK	RALPH,CALHOUN,YAX	FELIX,[boss]NICK_WILDE,CALHOUN,JUDY_HOPPS,FINNICK
2	21	1	GREEN	297	ESPORTS_ARENA_5	CHIEF_BOGO,VANELLOPE,JUDY_HOPPS	FELIX,VANELLOPE,CALHOUN,JUDY_HOPPS	FELIX,NICK_WILDE,[boss]VANELLOPE,JUDY_HOPPS,YAX
3	27	1	GREEN_1	215	ESPORTS_ARENA_5	FELIX,CALHOUN,YAX	RALPH,CALHOUN,JUDY_HOPPS,YAX	[boss]FELIX,RALPH,VANELLOPE,NICK_WILDE,CALHOUN
4	38	2	BLUE	231	ESPORTS_ARENA_5	CHIEF_BOGO,VANELLOPE,CALHOUN	FELIX,CHIEF_BOGO,CALHOUN,YAX	RALPH,[boss]CHIEF_BOGO,NICK_WILDE,CALHOUN,JUDY_HOPPS
5	49	2	BLUE_1	247	ESPORTS_ARENA_5	CHIEF_BOGO,NICK_WILDE,YAX	FELIX,NICK_WILDE,CALHOUN,VANELLOPE	CHIEF_BOGO,RALPH,NICK_WILDE,YAX,[boss]JUDY_HOPPS
6	60	2	PURPLE	265	ESPORTS_ARENA_5	RALPH,VANELLOPE,NICK_WILDE	RALPH,FELIX,CALHOUN,NICK_WILDE	CHIEF_BOGO,[boss]CALHOUN,NICK_WILDE,JUDY_HOPPS,FINNICK
7	70	3	PURPLE_1	290	ESPORTS_ARENA_5	RALPH,VANELLOPE,NICK_WILDE	CHIEF_BOGO,FELIX,NICK_WILDE,JUDY_HOPPS	FELIX,NICK_WILDE,[boss]VANELLOPE,CALHOUN,JUDY_HOPPS
8	80	4	PURPLE_2	315	ESPORTS_ARENA_5	RALPH,VANELLOPE,JUDY_HOPPS	RALPH,FELIX,CALHOUN,VANELLOPE	[boss]CHIEF_BOGO,RALPH,CALHOUN,FINNICK,JUDY_HOPPS
9	90	5	PURPLE_3	340	ESPORTS_ARENA_5	RALPH,NICK_WILDE,YAX	CHIEF_BOGO,RALPH,NICK_WILDE,JUDY_HOPPS	FELIX,CHIEF_BOGO,CALHOUN,[boss]FINNICK,JUDY_HOPPS
10	95	5	PURPLE_4	365	ESPORTS_ARENA_5	MAUI,HECTOR_BARBOSSA,GENIE	MAUI,EMPEROR_ZURG,BUZZ,VANELLOPE	CHIEF_BOGO,RALPH,CALHOUN,[boss]ALADDIN,MOANA
11	100	5	ORANGE	390	ESPORTS_ARENA_5	FELIX,RALPH,YAX	CHIEF_BOGO,VANELLOPE,GENIE,WOODY	FELIX,BUZZ,VANELLOPE,WOODY,[boss]GENIE
12	105	5	ORANGE_1	415	ESPORTS_ARENA_5	REX,JACK_SPARROW,VANELLOPE	FELIX,HADES,STITCH,MIKE	RALPH,[boss]CALHOUN,BUZZ,HECTOR_BARBOSSA,VANELLOPE
13	110	5	ORANGE_2	440	ESPORTS_ARENA_5	MAUI,JACK_SPARROW,MIKE	HADES,VANELLOPE,NICK_WILDE,WOODY	FELIX,BUZZ,ALADDIN,JESSIE,[boss]GENIE
14	115	6	ORANGE_3	455	ESPORTS_ARENA_5	HADES,BUZZ,EMPEROR_ZURG	CHIEF_BOGO,EMPEROR_ZURG,CALHOUN,TIA_DALMA	MAUI,HERCULES,BUZZ,[boss]CALHOUN,TIA_DALMA
15	120	6	ORANGE_4	470	ESPORTS_ARENA_5	HADES,ALADDIN,VANELLOPE	MAUI,ALADDIN,MIKE,MALEFICENT	[boss]HADES,REX,STITCH,FINNICK,WOODY
16	125	6	ORANGE_5	485	ESPORTS_ARENA_5	SULLEY,BUZZ,MALEFICENT	SULLEY,MIKE,MOANA,WOODY	MEGARA,[boss]MOANA,HERCULES,EMPEROR_ZURG,ALADDIN
17	130	6	ORANGE_6	500	ESPORTS_ARENA_5	MAUI,JACK_SPARROW,URSULA	CHIEF_BOGO,HADES,MOANA,EMPEROR_ZURG	[boss]HADES,REX,JACK_SPARROW,URSULA,JUDY_HOPPS
18	135	6	ORANGE_7	515	ESPORTS_ARENA_5	CHIEF_BOGO,ALADDIN,NICK_WILDE	FELIX,JACK_SPARROW,HECTOR_BARBOSSA,TIA_DALMA	REX,STITCH,EMPEROR_ZURG,[boss]MOANA,JESSIE
19	140	6	ORANGE_8	530	ESPORTS_ARENA_5	FELIX,CALHOUN,MIGUEL	HADES,MAUI,HECTOR_BARBOSSA,CALHOUN	REX,SULLEY,[boss]NICK_WILDE,VANELLOPE,TIA_DALMA
20	145	6	RED	545	ESPORTS_ARENA_5	REX,VANELLOPE,MIGUEL	SULLEY,NICK_WILDE,ALADDIN,HECTOR_BARBOSSA	MAUI,MOANA,[boss]VANELLOPE,FINNICK,GENIE
21	150	6	RED_1	560	ESPORTS_ARENA_5	REX,STITCH,FINNICK	MAUI,CHIEF_BOGO,HECTOR_BARBOSSA,BUZZ	MAUI,REX,VANELLOPE,JESSIE,[boss]MOANA
22	155	6	RED_2	575	ESPORTS_ARENA_5	CHIEF_BOGO,CALHOUN,JUDY_HOPPS	MAUI,REX,ANGER,JUDY_HOPPS	SULLEY,HECTOR_BARBOSSA:STUDY,EMPEROR_ZURG,ALADDIN,[boss]JAFAR
23	160	6	RED_3	590	ESPORTS_ARENA_5	REX,BUZZ,TIA_DALMA	SULLEY,FELIX,VANELLOPE,JUDY_HOPPS	SULLEY,EMPEROR_ZURG,MOANA,NICK_WILDE,[boss]ALADDIN
24	165	6	RED_4	605	ESPORTS_ARENA_5	REX,JACK_SPARROW,MIGUEL	SULLEY:TEAM_HEAL,CHIEF_BOGO,BUZZ,VANELLOPE	[boss]RALPH,MIKE,HECTOR_BARBOSSA:STUDY,VANELLOPE,URSULA:ENERGY
25	170	6	RED_5	620	ESPORTS_ARENA_5	HADES,CALHOUN,TIA_DALMA	FELIX,JESSIE,MIKE,MIGUEL	MAUI,STITCH,CALHOUN,JESSIE,[boss]JAFAR
26	175	6	RED_6	635	ESPORTS_ARENA_5	REX,HECTOR_BARBOSSA,TIA_DALMA	HADES,EMPEROR_ZURG,VANELLOPE,STITCH	RALPH,JOY,[boss]SULLEY,JAFAR,MALEFICENT
27	180	6	RED_7	650	ESPORTS_ARENA_5	HADES,SALLY,MAD_HATTER	FLYNN_RIDER,HADES,GASTON,HERCULES	HECTOR_BARBOSSA,MERLIN,ROBIN_HOOD,JOY,[boss]BEAST
28	185	6	RED_8	665	ESPORTS_ARENA_5	QUEEN_OF_HEARTS,MERLIN,CALHOUN	JASMINE,JACK_SKELLINGTON,ELSA,SULLEY	OOGIE_BOOGIE,FELIX,GASTON,ANGER,[boss]STITCH
29	190	6	RED_9	680	ESPORTS_ARENA_5	MAUI,JACK_SPARROW,MIKE	RALPH,FELIX,CALHOUN,VANELLOPE	GONZO,RAPUNZEL,LINGUINI_AND_REMY,[boss]QUEEN_OF_HEARTS,MAD_HATTER
30	195	6	RED_10	695	ESPORTS_ARENA_5	OOGIE_BOOGIE::FALSE,ROBIN_HOOD::FALSE,JESSIE::FALSE	HERCULES::FALSE,JESSIE::FALSE,HECTOR_BARBOSSA::FALSE,KIDA::FALSE	[boss]SHANK::FALSE,REX::FALSE,BO_PEEP::FALSE,BELLE:SAP,COLETTE::FALSE
31	200	6	RED_11	710	ESPORTS_ARENA_5	MAXIMUS::FALSE,CALHOUN::FALSE,JUDY_HOPPS::FALSE	MAUI::FALSE,STITCH::FALSE,MISS_PIGGY::FALSE,CHESHIRE_CAT::FALSE	[boss]EEYORE:SKILL4_BUFF:FALSE,DASH::FALSE,ANGER,KIDA::FALSE,NICK_WILDE::FALSE
32	205	6	RED_12	725	ESPORTS_ARENA_5	SHANK::FALSE,DUCKY_AND_BUNNY::FALSE,URSULA::FALSE	SULLEY::FALSE,MOANA::FALSE,SCAR::FALSE,MALEFICENT::FALSE	[boss]HADES,OOGIE_BOOGIE::FALSE,MIKE::FALSE,GENIE::FALSE,DAVY_JONES:STUDY:FALSE
33	210	6	RED_13	740	ESPORTS_ARENA_5	GOOFY::FALSE,NICK_WILDE::FALSE,DUKE_CABOOM::FALSE	REX::FALSE,EVIL_QUEEN::FALSE,JACK_JACK::FALSE,VANELLOPE::FALSE	[boss]GERALD_MARLIN_NEMO::FALSE,RANDALL_BOGGS:TRUE_DMG:FALSE,ELASTIGIRL:BACKLINE,KRISTOFF_AND_SVEN::FALSE,MICKEY_MOUSE::FALSE
34	215	6	RED_14	755	ESPORTS_ARENA_5	GONZO::FALSE,SCAR::FALSE,BASIL::FALSE	MAXIMUS::FALSE,RANDALL_BOGGS::FALSE,MISS_PIGGY::FALSE,MUSHU::FALSE	[boss]HADES:DOT:FALSE,RALPH::FALSE,ALADDIN::FALSE,DUCKY_AND_BUNNY::FALSE,MIKE::FALSE
35	220	6	RED_15	770	ESPORTS_ARENA_5	SHANK::FALSE,MERIDA::FALSE,EVIL_QUEEN::FALSE	FELIX::FALSE,ELSA::FALSE,CALHOUN::FALSE,MALEFICENT::FALSE	[boss]OLAF,GONZO::FALSE,VANELLOPE::FALSE,VIOLET::FALSE,POWERLINE:BLIND:FALSE
36	225	6	RED_16	785	ESPORTS_ARENA_5	GONZO::FALSE,ELSA::FALSE,CAPTAIN_HOOK::FALSE	MR_INCREDIBLE::FALSE,SIMBA_AND_NALA::FALSE,HECTOR_BARBOSSA::FALSE,FROZONE::FALSE	[boss]RALPH::FALSE,SHANK::FALSE,GERALD_MARLIN_NEMO::FALSE,QUORRA:CRIT,MAGICA_DE_SPELL::FALSE
