	SHARD_IMAGINATION_SHIP	SHARD_WIG_A_LA_MODE	SHARD_FAIRY_LANTERN	SHARD_AQUARIUM_TAG	SHARD_REEL_PILOTS_CAP	SHARD_REEL_SCREAM_CANISTER	SHARD_A_VERY_PINE_HAT	SHARD_REEL_DOGS_BREAKFAST	SHARD_PIRATE_HIDEOUT	SHARD_FLIGHT_OF_FANCY	SHARD_FANTASOUND	SHARD_MAGIC_MIRROR	SHARD_BECAUSE_WE_CARE	SHARD_UNICORN_DREAMS	SHARD_ENTHUSIASTIC_DISHWARE	SHARD_UNBEWEAVEABLE_RETURNS	SHARD_NO_LLAMAS	SHARD_PLUCKED_PELICAN	SHARD_MISSION_FORCE_ONE	SHARD_DAYDREAM_HUNTER	SHARD_TRUSTY_BIKE	SHARD_CAT_ON_A_LAPTOP	SHARD_GIANT_SQUID_ATTACK	SHARD_BOOKS_GALORE	SHARD_FISH_OUT_OF_WATER	SHARD_STORYBOOK	SHARD_CAVE_DRAWING	SHARD_I_WIN	SHARD_GREEK_GARDEN	SHARD_GALILEO	SHARD_YOUNG_LOVE	SHARD_FLOWERS_AND_TREES	SHARD_FORKY	SHARD_DADS_CASSETTE	SHARD_MARK_OF_THE_HUNTSCLAN	SHARD_COLD_LAUGHTER	SHARD_MODIFIED_PLAN	SHARD_KU_TIKI_NECKLACE	SHARD_SPORTY_TUNA	SHARD_PAINTERLY_CAPTURE	SHARD_YOUNG_ART	SHARD_WHAT	SHARD_LUNIVERSO	SHARD_FETCH	SHARD_GOLDEN_DRAGON	SHARD_WOOF_WOOF_WOOF	SHARD_BONKERS	SHARD_BRO_TIME	SHARD_PRIDE_ROCK	SHARD_FOUR_TOWNIE	SHARD_CONFUSED_DOGGY	SHARD_I_AM_CALM	SHARD_KING_CANDY	SHARD_MICROBOT	SHARD_BOOS_MONSTER	SHARD_PLATINUM_BELLA_NOTTE	SHARD_PLATINUM_MEEKOS_BISCUITS	SHARD_PLATINUM_SWORD_IN_A_STONE	SHARD_PLATINUM_PROUD_UNICORN	SHARD_PLATINUM_LIGHTSPEED	SHARD_PLATINUM_CALAMARI	SHARD_PLATINUM_BIT	SHARD_PLATINUM_A_VERY_PINE_HAT	SHARD_PLATINUM_MERLINS_BAG	SHARD_PLATINUM_ILL_WISHING_WELL	SHARD_PLATINUM_HAPPY_THOUGHTS	SHARD_PLATINUM_SAN_FRANSOKYO_SEWER	SHARD_PLATINUM_PIT_STOP	SHARD_PLATINUM_THE_GREY_STUFF	SHARD_PLATINUM_BAYOU_BOOGIE	SHARD_PLATINUM_TOUR_BUS	SHARD_PLATINUM_PISTON_CUP	SHARD_PLATINUM_CRYSTAL_PURE	SHARD_PLATINUM_MICKEY_WAFFLES	SHARD_PLATINUM_DONT_BAT_AN_EYE	SHARD_PLATINUM_JANES_SKETCH	SHARD_PLATINUM_BINGO_IS_HIS_NAMEO	SHARD_PLATINUM_GODDESS_OF_ADVENTURE	SHARD_PLATINUM_THAT_DARN_CAT	SHARD_PLATINUM_BE_MY_PAL	SHARD_PLATINUM_INSTANT_MAKEOVER	SHARD_PLATINUM_NOTRE_DAME_GARGOYLES	SHARD_PLATINUM_KAKAMORA	SHARD_PLATINUM_CONSCIENCE	SHARD_PLATINUM_ARCHIMEDES	SHARD_PLATINUM_PREHISTORIC_RODENTS	SHARD_PLATINUM_FAMILY_ISLAND	SHARD_PLATINUM_FOREST_TREK	SHARD_PLATINUM_NECKLACE	SHARD_PLATINUM_SNOWY_VILLAGE	SHARD_PLATINUM_GREAT_BOOK_OF_GUMMI	SHARD_PLATINUM_GALILEO	SHARD_PLATINUM_GUMBO_POT	SHARD_PLATINUM_ESCAPE_BALLOON	SHARD_PLATINUM_SAILING_INTO_THE_SUNSET	SHARD_PLATINUM_HIDING_FROM_HALLOWEEN	SHARD_PLATINUM_CHEAT_ARROW	SHARD_PLATINUM_NURSE_MOUSE	SHARD_PLATINUM_DADS_CASSETTE	SHARD_PLATINUM_EVES_DIRECTIVE	SHARD_
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2-3	1-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2-3	1-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2-3	1-2	1-2	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2-3	1-2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2-3	1-2	2-3	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3-4	2-3	3-4	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
