	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	15	1	WHITE	165	ESPORTS_ARENA_1	JACK_JACK	VANELLOPE	MR_INCREDIBLE
2	21	1	GREEN	190	ESPORTS_ARENA_1	MR_INCREDIBLE,DASH,VIOLET	RALPH,FELIX,VANELLOPE,DASH	[boss]MR_INCREDIBLE,FELIX,CALHOUN,DASH,FROZONE
3	27	1	GREEN_1	215	ESPORTS_ARENA_1	FELIX,VANELLOPE,FROZONE	MR_INCREDIBLE,ELASTIGIRL,VANELLOPE,FROZONE	RALPH,JACK_JACK,ELASTIGIRL,[boss]FROZONE,VIOLET
4	38	2	BLUE	231	ESPORTS_ARENA_1	FELIX,ELASTIGIRL,VIOLET	MR_INCREDIBLE,DASH,CALHOUN,FROZONE	FELIX,DASH,VANELLOPE,CALHOUN,[boss]FROZONE
5	49	2	BLUE_1	248	ESPORTS_ARENA_1	FELIX,VANELLOPE,DASH	MR_INCREDIBLE,CALHOUN,ELASTIGIRL,JACK_JACK	MR_INCREDIBLE,DASH,[boss]CALHOUN,JACK_JACK,FROZONE
6	60	2	PURPLE	265	ESPORTS_ARENA_1	MR_INCREDIBLE,VANELLOPE,FROZONE	FELIX,DASH,CALHOUN,VIOLET	MR_INCREDIBLE,VANELLOPE,CALHOUN,JACK_JACK,[boss]VIOLET
7	70	3	PURPLE_1	290	ESPORTS_ARENA_1	RALPH,MR_INCREDIBLE,FROZONE	FELIX,VANELLOPE,FROZONE,VIOLET	MR_INCREDIBLE,DASH,CALHOUN,[boss]FROZONE,VIOLET
8	80	4	PURPLE_2	315	ESPORTS_ARENA_1	RALPH,FELIX,CALHOUN	MR_INCREDIBLE,FELIX,ELASTIGIRL,VANELLOPE	MR_INCREDIBLE,VANELLOPE,ELASTIGIRL,VIOLET,[boss]FROZONE
9	90	5	PURPLE_3	340	ESPORTS_ARENA_1	BAYMAX,CALHOUN,URSULA	MR_INCREDIBLE,ELASTIGIRL,ALADDIN,EVE	BAYMAX,ALADDIN,JESSIE,FROZONE,[boss]KEVIN_FLYNN
10	95	5	PURPLE_4	365	ESPORTS_ARENA_1	HADES,JESSIE,VANELLOPE	MR_INCREDIBLE,ALADDIN,CALHOUN,FROZONE	BAYMAX,JESSIE,EMPEROR_ZURG,VANELLOPE,[boss]MICKEY_MOUSE
11	100	5	ORANGE	390	ESPORTS_ARENA_1	FELIX,ELASTIGIRL,JESSIE	BAYMAX,JESSIE,EMPEROR_ZURG,HIRO	BAYMAX,HADES,EMPEROR_ZURG,FROZONE,[boss]HIRO
12	105	5	ORANGE_1	415	ESPORTS_ARENA_1	REX,ALADDIN,MERIDA	RALPH,MR_INCREDIBLE,CALHOUN,JESSIE	REX,[boss]JESSIE,MERIDA,KEVIN_FLYNN,VIOLET
13	110	5	ORANGE_2	440	ESPORTS_ARENA_1	RALPH,ALADDIN,VANELLOPE	HADES,REX,MERIDA,VANELLOPE	FELIX,HADES,JACK_JACK,[boss]VIOLET,GENIE
14	115	6	ORANGE_3	455	ESPORTS_ARENA_1	RALPH,VANELLOPE,CALHOUN	FELIX,BAYMAX,MERIDA,EMPEROR_ZURG	RALPH,HIRO,[boss]VANELLOPE,STITCH,JESSIE
15	120	6	ORANGE_4	470	ESPORTS_ARENA_1	FELIX,STITCH,CALHOUN	REX,MERIDA,DASH,ALADDIN	FELIX,RALPH,[boss]BUZZ,STITCH,MICKEY_MOUSE
16	125	6	ORANGE_5	485	ESPORTS_ARENA_1	RALPH,MR_INCREDIBLE,STITCH	MR_INCREDIBLE,ELASTIGIRL,DASH,WOODY	MR_INCREDIBLE,FELIX,EMPEROR_ZURG,[boss]MERIDA,FROZONE
17	130	6	ORANGE_6	500	ESPORTS_ARENA_1	HADES,JACK_JACK,EVE	HADES,STITCH,CALHOUN,GENIE	RALPH,CALHOUN,DASH,[boss]URSULA,VIOLET
18	135	6	ORANGE_7	515	ESPORTS_ARENA_1	MR_INCREDIBLE,VANELLOPE,JESSIE	REX,ELASTIGIRL,STITCH,ALADDIN	RALPH,[boss]HADES,MERIDA,URSULA,MICKEY_MOUSE
19	140	6	ORANGE_8	530	ESPORTS_ARENA_1	HADES,VANELLOPE,HIRO	REX,MERIDA,CALHOUN,VANELLOPE	RALPH,[boss]STITCH,JESSIE,KEVIN_FLYNN,VIOLET
20	145	6	RED	545	ESPORTS_ARENA_1	FELIX,MERIDA,STITCH	FELIX,VANELLOPE,MERIDA,HIRO	RALPH,[boss]MR_INCREDIBLE,JACK_JACK,EVE,KEVIN_FLYNN
21	150	6	RED_1	560	ESPORTS_ARENA_1	FELIX,VANELLOPE,STITCH	REX,BAYMAX,DASH,HIRO	REX,[boss]EMPEROR_ZURG,MERIDA,EVE,VIOLET
22	155	6	RED_2	575	ESPORTS_ARENA_1	REX,MR_INCREDIBLE,JACK_JACK	FELIX,BUZZ,STITCH,VIOLET	HADES,[boss]MERIDA,TIMON_AND_PUMBAA,STITCH,JAFAR
23	160	6	RED_3	590	ESPORTS_ARENA_1	MR_INCREDIBLE,DASH,WALL_E	BAYMAX,FELIX,EMPEROR_ZURG,WOODY	BAYMAX,REX,MERIDA,[boss]WALL_E,WOODY
24	165	6	RED_4	605	ESPORTS_ARENA_1	MR_INCREDIBLE,ALADDIN,ELASTIGIRL	BAYMAX:FREEZE,VANELLOPE,JESSIE,CALHOUN	BAYMAX,STITCH,CALHOUN:SHIELDS,[boss]VIOLET,MICKEY_MOUSE:HEALING
25	170	6	RED_5	620	ESPORTS_ARENA_1	REX,MR_INCREDIBLE,WALL_E	HADES,REX,BUZZ,MICKEY_MOUSE	[boss]BAYMAX,STITCH,JACK_JACK,JESSIE:JUMP_EARLY,KEVIN_FLYNN
26	175	6	RED_6	635	ESPORTS_ARENA_1	RALPH,JESSIE,CALHOUN	REX,EVE,MERIDA,VIOLET	FELIX,JACK_JACK,[boss]STITCH,JESSIE,BO_PEEP
27	180	6	RED_7	650	ESPORTS_ARENA_1	PETER_PAN,JAFAR,TIMON_AND_PUMBAA	ELSA,OLAF,GOOFY,DUKE_CABOOM	MEGARA,MAD_HATTER,MEGAVOLT,MISS_PIGGY,GONZO
28	185	6	RED_8	665	ESPORTS_ARENA_1	REX,DASH,FROZONE	GENIE,ALADDIN,EMPEROR_ZURG,HADES	BO_PEEP,VIOLET,[boss]HIRO,DARKWING_DUCK,SCAR
29	190	6	RED_9	680	ESPORTS_ARENA_1	REX,ALADDIN,MERIDA	HADES,FELIX,MERIDA,VANELLOPE	[boss]DASH,ANIMAL,MEGARA,DUKE_CABOOM,GOOFY
