	SLOTS_1	SLOTS_2	SLOTS_3	SLOTS_4
CALHOUN	SP	BD,BD	HP,SP,BD	HP,SP,BD,BD
RALPH	HP	SP,SP	SP,SP,BD	HP,SP,SP,SP
FELIX	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
VANELLOPE	SP	HP,SP	HP,BD,BD	HP,HP,SP,BD
JUDY_HOPPS	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
NICK_WILDE	HP	HP,SP	SP,SP,SP	HP,HP,BD,BD
FINNICK	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
CHIEF_BOGO	HP	SP,BD	SP,SP,BD	HP,SP,SP,BD
YAX	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
MR_INCREDIBLE	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
ELASTIGIRL	HP	HP,SP	HP,HP,SP	HP,HP,SP,SP
DASH	BD	HP,BD	SP,SP,BD	HP,HP,BD,BD
FROZONE	BD	SP,BD	HP,HP,BD	HP,SP,SP,BD
JACK_JACK	HP	HP,SP	HP,HP,SP	HP,HP,SP,SP
VIOLET	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
BUZZ	BD	HP,BD	SP,SP,BD	HP,SP,BD,BD
WOODY	BD	HP,SP	BD,BD,BD	HP,HP,SP,SP
REX	HP	HP,BD	BD,BD,BD	HP,SP,SP,BD
EMPEROR_ZURG	HP	HP,SP	SP,SP,BD	HP,HP,HP,SP
JESSIE	BD	HP,SP	HP,HP,BD	HP,SP,BD,BD
SULLEY	BD	SP,BD	BD,BD,BD	SP,SP,BD,BD
MIKE	HP	BD,BD	HP,HP,BD	HP,HP,BD,BD
EVE	SP	HP,BD	HP,HP,SP	HP,HP,BD,BD
JACK_SPARROW	BD	SP,BD	SP,SP,SP	HP,HP,SP,SP
WALL_E	BD	HP,SP	HP,HP,BD	HP,SP,SP,BD
HECTOR_BARBOSSA	HP	HP,HP	HP,HP,SP	SP,BD,BD,BD
TIA_DALMA	SP	HP,SP	HP,HP,SP	HP,SP,SP,BD
QUORRA	HP	HP,SP	HP,SP,BD	HP,HP,HP,SP
KEVIN_FLYNN	HP	HP,BD	HP,HP,BD	SP,SP,BD,BD
MERIDA	HP	SP,BD	HP,SP,BD	HP,HP,SP,BD
MAUI	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
STITCH	HP	SP,BD	HP,SP,BD	HP,SP,SP,BD
MIGUEL	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
MOANA	BD	HP,SP	HP,BD,BD	SP,BD,BD,BD
GENIE	BD	SP,BD	HP,SP,BD	HP,SP,SP,BD
ALADDIN	SP	HP,BD	HP,HP,BD	HP,HP,SP,SP
BAYMAX	HP	HP,SP	HP,BD,BD	SP,SP,SP,BD
HIRO	BD	HP,BD	HP,SP,BD	SP,SP,SP,BD
HADES	BD	SP,BD	SP,BD,BD	HP,SP,BD,BD
MALEFICENT	BD	HP,BD	HP,HP,BD	HP,BD,BD,BD
URSULA	HP	SP,BD	SP,SP,BD	HP,SP,SP,BD
SCAR	HP	HP,SP	HP,HP,SP	SP,SP,SP,BD
MICKEY_MOUSE	BD	SP,BD	HP,HP,SP	HP,HP,HP,BD
JACK_SKELLINGTON	HP	HP,BD	HP,HP,BD	HP,SP,SP,BD
SALLY	BD	SP,BD	HP,SP,SP	HP,HP,SP,BD
ELSA	HP	SP,SP	HP,HP,HP	HP,HP,SP,BD
SHANK	HP	HP,HP	HP,SP,SP	HP,SP,BD,BD
OLAF	SP	HP,BD	SP,BD,BD	HP,SP,BD,BD
DARKWING_DUCK	HP	HP,SP	HP,SP,BD	SP,SP,BD,BD
GASTON	BD	SP,BD	SP,BD,BD	SP,SP,BD,BD
MAD_HATTER	HP	HP,SP	HP,HP,SP	SP,BD,BD,BD
QUEEN_OF_HEARTS	HP	SP,BD	HP,BD,BD	HP,HP,HP,BD
ALICE	SP	BD,BD	BD,BD,BD	SP,SP,BD,BD
HERCULES	SP	HP,SP	HP,SP,BD	HP,HP,SP,BD
MEGARA	HP	HP,SP	HP,SP,BD	HP,SP,BD,BD
MERLIN	BD	HP,SP	HP,HP,SP	SP,SP,BD,BD
ROBIN_HOOD	BD	HP,BD	HP,SP,BD	HP,SP,SP,BD
GOOFY	SP	SP,BD	SP,SP,BD	HP,HP,SP,BD
DUKE_CABOOM	HP	HP,SP	HP,SP,BD	HP,SP,BD,BD
DUCKY_AND_BUNNY	HP	HP,SP	HP,SP,SP	HP,HP,BD,BD
BO_PEEP	SP	HP,BD	HP,SP,BD	HP,HP,SP,BD
ANGER	HP	HP,BD	SP,BD,BD	HP,HP,SP,BD
JOY	BD	BD,BD	HP,HP,BD	HP,HP,HP,BD
PETER_PAN	SP	HP,BD	HP,HP,HP	HP,SP,SP,BD
RAFIKI	BD	SP,BD	HP,BD,BD	HP,SP,SP,SP
BEAST	HP	SP,BD	HP,SP,BD	SP,SP,BD,BD
JAFAR	SP	HP,BD	HP,SP,BD	HP,SP,BD,BD
JASMINE	SP	HP,BD	HP,SP,BD	HP,SP,SP,BD
TIMON_AND_PUMBAA	SP	HP,SP	HP,SP,BD	HP,SP,BD,BD
SIMBA_AND_NALA	SP	HP,SP	HP,HP,SP	HP,HP,SP,BD
HUEY_DEWEY_LOUIE	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
MISS_PIGGY	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
ANIMAL	SP	SP,BD	HP,HP,SP	HP,HP,SP,SP
GONZO	BD	HP,BD	SP,BD,BD	HP,SP,BD,BD
YZMA	BD	BD,BD	HP,SP,BD	HP,HP,SP,BD
MADAM_MIM	BD	SP,BD	HP,SP,BD	HP,SP,SP,BD
MEGAVOLT	SP	SP,BD	HP,SP,SP	HP,HP,SP,BD
RANDALL_BOGGS	BD	HP,BD	SP,BD,BD	HP,HP,SP,BD
SCROOGE_MCDUCK	BD	HP,SP	HP,HP,BD	HP,SP,SP,BD
CAPTAIN_HOOK	SP	HP,SP	HP,SP,SP	HP,HP,HP,SP
GIZMODUCK	HP	HP,SP	HP,HP,BD	HP,SP,SP,BD
DONALD_DUCK	HP	SP,BD	HP,SP,BD	HP,SP,SP,BD
OOGIE_BOOGIE	BD	HP,BD	SP,SP,BD	SP,SP,BD,BD
LAUNCHPAD_MCQUACK	SP	HP,SP	HP,SP,BD	HP,SP,BD,BD
FLYNN_RIDER	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
MAGICA_DE_SPELL	HP	HP,SP	HP,BD,BD	HP,HP,HP,SP
RAPUNZEL	HP	HP,BD	HP,HP,BD	HP,SP,SP,SP
KIDA	HP	HP,SP	HP,HP,HP	HP,HP,SP,BD
COLETTE	HP	HP,BD	HP,BD,BD	HP,SP,BD,BD
LINGUINI_AND_REMY	BD	HP,HP	HP,HP,BD	HP,HP,SP,SP
TRON	HP	SP,BD	HP,HP,SP	HP,SP,SP,BD
DR_FACILIER	HP	HP,BD	SP,SP,BD	HP,SP,BD,BD
HANK_AND_DORY	SP	SP,SP	SP,SP,SP	HP,SP,SP,SP
GERALD_MARLIN_NEMO	HP	HP,SP	HP,SP,BD	HP,HP,BD,BD
POWERLINE	HP	SP,BD	HP,SP,BD	HP,SP,BD,BD
GOLIATH	SP	SP,SP	HP,BD,BD	SP,SP,BD,BD
KRISTOFF_AND_SVEN	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
TIGGER	SP	SP,BD	HP,HP,BD	HP,HP,SP,BD
WINNIE_THE_POOH	HP	HP,SP	HP,HP,SP	HP,SP,SP,BD
MUSHU	SP	HP,SP	HP,SP,BD	HP,HP,SP,SP
SHAN_YU	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
EEYORE	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
MULAN	HP	SP,BD	HP,BD,BD	HP,SP,SP,BD
BELLE	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
SYNDROME	SP	BD,BD	HP,BD,BD	HP,HP,SP,BD
KIM_POSSIBLE	SP	SP,BD	HP,HP,SP	HP,SP,BD,BD
MINNIE_MOUSE	HP	HP,HP	HP,SP,BD	HP,HP,SP,BD
EVIL_QUEEN	BD	SP,SP	HP,BD,BD	HP,SP,BD,BD
LI_SHANG	SP	SP,SP	HP,SP,BD	HP,HP,SP,SP
DAVY_JONES	BD	SP,BD	HP,SP,BD	HP,SP,BD,BD
BALOO	BD	HP,SP	HP,SP,BD	HP,SP,SP,BD
BASIL	BD	SP,BD	HP,SP,SP	HP,SP,SP,BD
CHESHIRE_CAT	SP	SP,SP	HP,SP,SP	HP,SP,SP,BD
KING_LOUIE	HP	HP,SP	HP,HP,BD	SP,SP,SP,BD
MAXIMUS	HP	HP,SP	HP,SP,BD	HP,SP,SP,BD
JUMBA	HP	HP,SP	HP,SP,BD	HP,SP,BD,BD
PLEAKLEY	HP	SP,BD	HP,SP,BD	SP,SP,BD,BD
ANGEL	SP	SP,BD	SP,BD,BD	HP,SP,SP,BD
SLINKY_DOG	SP	SP,SP	HP,SP,SP	HP,SP,SP,BD
CAPTAIN_AMELIA	HP	BD,BD	HP,SP,BD	SP,BD,BD,BD
IAN_LIGHTFOOT	SP	SP,SP	HP,HP,SP	HP,SP,SP,BD
LOCK_SHOCK_BARREL	HP	HP,BD	HP,SP,BD	HP,SP,SP,SP
SADNESS	SP	SP,BD	SP,SP,BD	HP,SP,SP,BD
BUNSEN_AND_BEAKER	HP	HP,SP	HP,SP,BD	HP,HP,SP,BD
DISGUST	HP	HP,HP	HP,SP,SP	HP,HP,SP,BD
KRONK	SP	HP,SP	HP,SP,BD	HP,SP,BD,BD
MANTICORE	SP	HP,SP	HP,HP,HP	HP,SP,SP,BD
FEAR	HP	SP,BD	HP,SP,BD	HP,SP,SP,BD
HAMM	BD	SP,BD	HP,SP,SP	HP,SP,SP,BD
JIM_HAWKINS	HP	HP,SP	HP,HP,SP	HP,HP,SP,BD
JOHN_SILVER	SP	SP,BD	HP,SP,BD	HP,SP,SP,BD
SWEDISH_CHEF	SP	HP,SP	HP,SP,SP	HP,SP,SP,BD
HONEY_LEMON	SP	HP,SP	HP,SP,BD	HP,HP,SP,BD
KERMIT	SP	HP,BD	HP,SP,BD	SP,SP,BD,BD
CLAWHAUSER	SP	HP,HP	HP,SP,BD	HP,SP,SP,BD
DR_DRAKKEN	HP	HP,SP	HP,SP,BD	HP,SP,SP,BD
WASABI	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
ROCKETEER	HP	HP,SP	HP,SP,SP	HP,SP,SP,SP
MR_BIG_AND_KOSLOV	SP	SP,BD	HP,SP,BD	HP,HP,SP,BD
BARLEY_LIGHTFOOT	HP	HP,BD	HP,SP,BD	HP,SP,SP,BD
FOZZIE	SP	SP,SP	SP,SP,BD	HP,SP,SP,BD
DEMONA	HP	HP,SP	HP,HP,HP	HP,HP,SP,BD
FAIRY_GODMOTHER	SP	HP,SP	HP,SP,SP	HP,HP,SP,BD
POCAHONTAS	SP	HP,SP	HP,HP,BD	HP,SP,BD,BD
CARL	HP	HP,BD	HP,HP,BD	HP,HP,SP,BD
RUSSELL_AND_KEVIN	SP	SP,BD	SP,SP,SP	HP,SP,BD,BD
ESMERALDA	HP	SP,SP	SP,SP,BD	HP,SP,SP,BD
SHEGO	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
SHERIFF_OF_NOTTINGHAM	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
RON_STOPPABLE	BD	HP,SP	HP,HP,BD	HP,SP,SP,BD
QUACKERJACK	HP	HP,SP	HP,SP,BD	HP,HP,SP,BD
GO_GO	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
VINNY_SANTORINI	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
GADGET_HACKWRENCH	SP	HP,SP	HP,SP,BD	HP,SP,BD,BD
FRED_FREDERICKSON	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
CHIP_AND_DALE	SP	HP,SP	SP,BD,BD	HP,SP,SP,BD
LILO	HP	SP,BD	HP,SP,BD	HP,HP,SP,BD
HELGA	BD	BD,BD	HP,SP,BD	SP,BD,BD,BD
