	CATEGORY	STARTING_STARS	ROLE	SECTION	SUB_SECTION	VERTICAL_SORTING	ENTRANCE_SORTING	TEAM	RELEASE_ORDER	MOD_HP	MOD_SKILL_POWER	MOD_BASIC_DAMAGE
TEST_DUMMY	NPC	1	DPS	FRONT	1	1100	1100	NONE		SHIELDS	DEFAULT	NORMAL_CRIT
CALHOUN	HERO	1	DPS	BACK	502	1500	75	BLUE	1	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
RALPH	HERO	1	TANK	FRONT	402	2000	300	BLUE	2	SHIELDS	SKILL_LEVEL_3	FANTASTIC_CRIT
FELIX	HERO	2	TANK	FRONT	303	400	400	BLUE	3	REALITY	SKILL_LEVEL_4	ATTACK_SPEED
VANELLOPE	HERO	1	DPS	BACK	105	250	900	BLUE	4	ARMOR	SKILL_LEVEL_3	NORMAL_CRIT
JUDY_HOPPS	HERO	1	SUPPORT	CENTRAL	104	500	200	YELLOW	5	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
NICK_WILDE	HERO	2	DPS	BACK	203	600	600	YELLOW	6	SHIELDS	SKILL_LEVEL_3	NORMAL_CRIT
FINNICK	HERO	1	CONTROL	CENTRAL	201	450	50	YELLOW	7	SHIELDS	SKILL_LEVEL_2	ATTACK_SPEED
CHIEF_BOGO	HERO	2	TANK	FRONT	380	1600	0	YELLOW	8	ARMOR	SKILL_LEVEL_3	NORMAL_CRIT
YAX	HERO	1	SUPPORT	BACK	302	800	500	YELLOW	9	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
MR_INCREDIBLE	HERO	2	TANK	FRONT	200	1350	150	RED	10	ARMOR	SKILL_LEVEL_3	NORMAL_CRIT
ELASTIGIRL	HERO	1	DPS	CENTRAL	301	750	750	RED	11	ARMOR	SKILL_LEVEL_3	ATTACK_SPEED
DASH	HERO	1	DPS	CENTRAL	401	200	80	RED	12	SHIELDS	SKILL_LEVEL_2	FANTASTIC_CRIT
FROZONE	HERO	1	CONTROL	BACK	520	770	250	RED	13	REALITY	SKILL_LEVEL_2	ATTACK_SPEED
JACK_JACK	HERO	1	DPS	BACK	802	300	1000	RED	14	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
VIOLET	HERO	1	SUPPORT	CENTRAL	501	730	550	RED	15	ARMOR	SKILL_LEVEL_2	ATTACK_SPEED
BUZZ	HERO	3	DPS	BACK	602	680	655	BLUE	16	REALITY	SKILL_LEVEL_3	NORMAL_CRIT
WOODY	HERO	2	SUPPORT	CENTRAL	601	720	310	BLUE	17	SHIELDS	SKILL_LEVEL_2	ATTACK_SPEED
REX	HERO	3	TANK	FRONT	600	830	20	BLUE	18	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
EMPEROR_ZURG	HERO	2	DPS	CENTRAL	704	810	2200	BLUE	19	SHIELDS	SKILL_LEVEL_2	ATTACK_SPEED
JESSIE	HERO	2	DPS	FRONT	10200	690	675	BLUE	20	REALITY	SKILL_LEVEL_3	ATTACK_SPEED
SULLEY	HERO	2	TANK	FRONT	103	2100	320	YELLOW	21	SHIELDS	SKILL_LEVEL_3	ATTACK_SPEED
MIKE	HERO	3	DPS	BACK	700	260	420	YELLOW	22	SHIELDS	SKILL_LEVEL_3	NORMAL_CRIT
EVE	HERO	3	DPS	BACK	901	725	875	RED	23	ARMOR	SKILL_LEVEL_2	ATTACK_SPEED
