	IS_MAJOR	TEAM_LEVEL_REQ	REVEAL_LEVEL	ALT_TEAM_LEVEL_REQ	ALT_REVEAL_LEVEL
TRADER		0	0	0	
WORLD_CHANNEL		100		3	
DAILY_VIDEOS		3		3	
AUTO_FIGHT		2		2	
VIDEO_CRATES		5		5	
INTERSTITIALS		5		5	
SKILL_UPGRADE		8		0	
RANKINGS		10	1	8	8
FIGHT_PIT	TRUE	10	1	9	1
BATTLE_PASS		11		11	
ELITE_CAMPAIGN		11		11	
ALCHEMY		12		7	
GUILDS	TRUE	15	14	10	1
SOCIAL_CHEST		15		10	
CHALLENGES	TRUE	20	15	20	15
SAVED_LINEUPS		20		18	
FRIENDSHIPS		24		23	
MISSIONS		24		24	23
EXPEDITION	TRUE	25	20	12	9
COLLECTIONS	TRUE	26	25	26	19
CRYPT_RAID	TRUE	30	26	15	10
WISH_CHEST		30			
SURGE_OBJECTIVES		32		27	
BLACK_MARKET	TRUE	31	30	25	20
ENCHANTING	TRUE	35	31	35	24
COLISEUM	TRUE	40	35	40	26
MEGA_MART	TRUE	41	40	41	35
GEAR_MARKET		42		17	
MEMORY_MARKET		42		26	
WAR	TRUE	45	41	42	28
HEIST		9999		9999	
INVASION	TRUE	60	50	55	42
CODEBASE	TRUE	40	40	40	40
SPOTLIGHT_TRIAL	TRUE	0		0	
MODS		0		0	
PROMOS		3		3	
PATCHED_HEROES	TRUE	185	185	185	185
FRANCHISE_TRIALS	TRUE	55	55	55	55
CHAPTER_2		5		0	
CHAPTER_3		8		0	
CHAPTER_4		16		0	
CHAPTER_5		26		0	
CHAPTER_6		36		0	
CHAPTER_7		46		0	
CHAPTER_8		56		0	
CHAPTER_9		61		0	
CHAPTER_10		66		0	
CHAPTER_11		71		0	
CHAPTER_12		76		0	
CHAPTER_13		80		0	
CHAPTER_14		86		0	
CHAPTER_15		91		0	
CHAPTER_16		96		0	
CHAPTER_17		101		0	
CHAPTER_18		111		0	
CHAPTER_19		119		0	
CHAPTER_20		124		0	
CHAPTER_21		129		0	
CHAPTER_22		135		0	
CHAPTER_23		140		0	
CHAPTER_24		145		0	
CHAPTER_25		150		0	
CHAPTER_26		155		0	
CHAPTER_27		160		0	
CHAPTER_28		165		0	
CHAPTER_29		170		0	
CHAPTER_30		175		0	
CHAPTER_31		180		0	
CHAPTER_32		185		0	
CHAPTER_33		190		0	
CHAPTER_34		195		0	
CHAPTER_35		200		0	
CHAPTER_36		205		0	
CHAPTER_37		210		0	
CHAPTER_38		215		0	
CHAPTER_39		220		0	
CHAPTER_40		225		0	
CHAPTER_41		230		0	
CHAPTER_42		235		0	
CHAPTER_43		240		0	
CHAPTER_44		245		0	
CHAPTER_45		250		0	
CHAPTER_46		255		0	
CHAPTER_47		260		0	
CHAPTER_48		265		0	
CHAPTER_49		270		0	
CHAPTER_50		275		0	
CHAPTER_51		280		0	
CHAPTER_52		285		0	
CHAPTER_53		290		0	
CHAPTER_54		295		0	
CHAPTER_55		300		0	
CHAPTER_56		305		0	
CHAPTER_57		310		0	
CHAPTER_58		315		0	
CHAPTER_59		320		0	
CHAPTER_60		325		0	
CHAPTER_61		330		0	
CHAPTER_62		335		0	
CHAPTER_63		340		0	
CHAPTER_64		345		0	
CHAPTER_65		350		0	
CHAPTER_66		355		0	
CHAPTER_67		360		0	
CHAPTER_68		365		0	
CHAPTER_69		370		0	
CHAPTER_70		375		0	
CHAPTER_71		380		0	
CHAPTER_72		385		0	
CHAPTER_73		390		0	
CHAPTER_74		395		0	
CHAPTER_75		400		0	
CHAPTER_76		405		0	
CHAPTER_77		410		0	
CHAPTER_78		415		0	
CHAPTER_79		420		0	
CHAPTER_80		425		0	
CHAPTER_81		430		0	
CHAPTER_82		435		0	
CHAPTER_83		440		0	
CHAPTER_84		445		0	
CHAPTER_85		450		0	
CHAPTER_86		455		0	
CHAPTER_87		460		0	
CHAPTER_88		465		0	
CHAPTER_89		470		0	
CHAPTER_90		475		0	
CHAPTER_91		480		0	
CHAPTER_92		485		0	
CHAPTER_93		490		0	
CHAPTER_94		495		0	
CHAPTER_95		500		0	
CHAPTER_96		505		0	
CHAPTER_97		510		0	
CHAPTER_98		515		0	
CHAPTER_99		520		0	
CHAPTER_100		525		0	
CHAPTER_101		530		0	
CHAPTER_102		535		0	
CHAPTER_103		540			
CHAPTER_104		545			
CHAPTER_105		550			
CHAPTER_106		555			
CHAPTER_107		560			
PORT	TRUE	14	10	14	12
PORT_2		0		0	
PORT_3		0		0	
PORT_4		0		0	
PORT_5		0		0	
PORT_6		0		0	
PORT_7		0		0	
PORT_8		0		0	
PORT_9		0		0	
PORT_10		0		0	
PORT_11		0		0	
PORT_12		0		0	
PORT_13		0		0	
PORT_14		0		0	
PORT_15		0		0	
PORT_16		0		0	
PORT_17		0		0	
PORT_18		0		0	
PORT_19		0		0	
PORT_20		0		0	
PORT_21		0		0	
PORT_22		0		0	
PORT_23		0		0	
PORT_24		0		0	
PORT_25		0		0	
PORT_26		0		0	
PORT_27		0		0	
PORT_28		0		0	
PORT_29		0		0	
PORT_30		0		0	
PORT_31		0		0	
PORT_32		0		0	
PORT_33		0		0	
PORT_34		0		0	
PORT_35		0		0	
PORT_39		0		0	
PORT_40		0		0	
PORT_41		0		0	
PORT_42		0		0	
PORT_43		0		0	
PORT_44		0		0	
PORT_45		0		0	
PORT_46		0		0	
PORT_47		0		0	
PORT_48		0		0	
PORT_49		0		0	
PORT_50		0		0	
PORT_51		0		0	
PORT_52		0		0	
PORT_53		0		0	
PORT_54		0		0	
PORT_55		0		0	
PORT_56		0		0	
PORT_57		0		0	
PORT_58		0		0	
PORT_59		0		0	
PORT_60		0		0	
PORT_61		0		0	
PORT_62		0		0	
PORT_63		0		0	
PORT_64		0		0	
PORT_65		0		0	
PORT_66		0		0	
PORT_67		0		0	
PORT_68		0		0	
PORT_69		0		0	
PORT_70		0		0	
PORT_71		0		0	
PORT_72		0		0	
PORT_73		0		0	
PORT_74		0		0	
PORT_75		0		0	
PORT_76		0		0	
PORT_77		0		0	
PORT_78		0		0	
PORT_79		0		0	
PORT_80		0		0	
PORT_81		0		0	
PORT_82		0		0	
PORT_83		0		0	
PORT_84		0		0	
PORT_85		0		0	
PORT_86		0		0	
PORT_87		0		0	
PORT_88		0		0	
PORT_89		0		0	
PORT_90		0		0	
PORT_91		0		0	
PORT_92		0		0	
PORT_93		0		0	
PORT_94		0		0	
PORT_95		0		0	
PORT_96		0		0	
PORT_97		0		0	
PORT_98		0		0	
PORT_99		0		0	
PORT_100		0		0	
PORT_101		0		0	
PORT_102		0		0	
PORT_103		0		0	
PORT_104		0		0	
PORT_105		0		0	
PORT_106		0		0	
PORT_107		0		0	
TEAM_TRIALS	TRUE	20	15	19	14
TEAM_TRIALS_2		0		0	
TEAM_TRIALS_3		0		0	
TEAM_TRIALS_4		0		0	
TEAM_TRIALS_5		0		0	
TEAM_TRIALS_6		0		0	
TEAM_TRIALS_7		0		0	
TEAM_TRIALS_8		0		0	
TEAM_TRIALS_9		0		0	
TEAM_TRIALS_10		0		0	
TEAM_TRIALS_11		0		0	
TEAM_TRIALS_12		0		0	
TEAM_TRIALS_13		0		0	
TEAM_TRIALS_14		0		0	
TEAM_TRIALS_15		0		0	
TEAM_TRIALS_16		0		0	
TEAM_TRIALS_17		0		0	
TEAM_TRIALS_18		0		0	
TEAM_TRIALS_19		0		0	
TEAM_TRIALS_20		0		0	
TEAM_TRIALS_21		0		0	
TEAM_TRIALS_22		0		0	
TEAM_TRIALS_23		0		0	
TEAM_TRIALS_24		0		0	
TEAM_TRIALS_25		0		0	
TEAM_TRIALS_26		0		0	
TEAM_TRIALS_27		0		0	
TEAM_TRIALS_28		0		0	
TEAM_TRIALS_29		0		0	
TEAM_TRIALS_30		0		0	
TEAM_TRIALS_31		0		0	
TEAM_TRIALS_32		0		0	
TEAM_TRIALS_33		0		0	
TEAM_TRIALS_34		0		0	
TEAM_TRIALS_35		0		0	
TEAM_TRIALS_39		0		0	
TEAM_TRIALS_40		0		0	
TEAM_TRIALS_41		0		0	
TEAM_TRIALS_42		0		0	
TEAM_TRIALS_43		0		0	
TEAM_TRIALS_44		0		0	
TEAM_TRIALS_45		0		0	
TEAM_TRIALS_46		0		0	
TEAM_TRIALS_47		0		0	
TEAM_TRIALS_48		0		0	
TEAM_TRIALS_49		0		0	
TEAM_TRIALS_50		0		0	
TEAM_TRIALS_51		0		0	
TEAM_TRIALS_52		0		0	
TEAM_TRIALS_53		0		0	
TEAM_TRIALS_54		0		0	
TEAM_TRIALS_55		0		0	
TEAM_TRIALS_56		0		0	
TEAM_TRIALS_57		0		0	
TEAM_TRIALS_58		0		0	
TEAM_TRIALS_59		0		0	
TEAM_TRIALS_60		0		0	
TEAM_TRIALS_61		0		0	
TEAM_TRIALS_62		0		0	
TEAM_TRIALS_63		0		0	
TEAM_TRIALS_64		0		0	
TEAM_TRIALS_65		0		0	
TEAM_TRIALS_66		0		0	
TEAM_TRIALS_67		0		0	
TEAM_TRIALS_68		0		0	
TEAM_TRIALS_69		0		0	
TEAM_TRIALS_70		0		0	
TEAM_TRIALS_71		0		0	
TEAM_TRIALS_72		0		0	
TEAM_TRIALS_73		0		0	
TEAM_TRIALS_74		0		0	
TEAM_TRIALS_75		0		0	
TEAM_TRIALS_76		0		0	
TEAM_TRIALS_77		0		0	
TEAM_TRIALS_78		0		0	
TEAM_TRIALS_79		0		0	
TEAM_TRIALS_80		0		0	
TEAM_TRIALS_81		0		0	
TEAM_TRIALS_82		0		0	
TEAM_TRIALS_83		0		0	
TEAM_TRIALS_84		0		0	
TEAM_TRIALS_85		0		0	
TEAM_TRIALS_86		0		0	
TEAM_TRIALS_87		0		0	
TEAM_TRIALS_88		0		0	
TEAM_TRIALS_89		0		0	
TEAM_TRIALS_90		0		0	
TEAM_TRIALS_91		0		0	
TEAM_TRIALS_92		0		0	
TEAM_TRIALS_93		0		0	
TEAM_TRIALS_94		0		0	
TEAM_TRIALS_95		0		0	
TEAM_TRIALS_96		0		0	
TEAM_TRIALS_97		0		0	
TEAM_TRIALS_98		0		0	
TEAM_TRIALS_99		0		0	
TEAM_TRIALS_100		0		0	
TEAM_TRIALS_101		0		0	
TEAM_TRIALS_102		0		0	
TEAM_TRIALS_103		0		0	
TEAM_TRIALS_104		0		0	
TEAM_TRIALS_105		0		0	
TEAM_TRIALS_106		0		0	
TEAM_TRIALS_107		0		0	
AIRDROP		18			
BLACK_MARKET_EARLY		16			
MEGA_MART_EARLY		21			
