	VALUE
FIRST_WIN_MAJOR_STAGE_LOOT_MULT	3
FIRST_WIN_MINOR_STAGE_LOOT_MULT	2
CAMPAIGN_LOOT_LIMIT	7
BLOCKED_LIST_LIMIT	200
EXP_FLASK_CHANCE	0.2
EXP_PHILTER_CHANCE	0.2
EXP_VIAL_CHANCE	0.2
EXP_DECANTER_CHANCE	0.2
COLISEUM_THREE_ATTACKS	TRUE
PM_ROOM_LIMIT	75
FRIEND_LIMIT	150
SYMMETRIC_LOOT	rand(1)<(M<-S)+(M<S)*C
SYMMETRIC_LOOT_MEM	M-C+R
ALLOWED_UNACKNOWLEDGED_CHESTS	1
TIME_ZONE_CHANGE_INTERVAL	30
SKILL_POINT_GENERATION_INTERVAL	150 s
GOLD_CHEST_GENERATION_INTERVAL	48 h
SOUL_CHEST_GENERATION_INTERVAL	120 h
SECOND_GOLD_CHEST_GENERATION_INTERVAL	24 h
SKILL_POINT_PURCHASE_AMOUNT	20
SOCIAL_CHEST_GENERATION_INTERVAL	24 h
MERCENARY_POST_DURATION	20 h
MERCENARY_COST	min(2500+(0.5*P), 2000000000)
FRIEND_REQUEST_COOLDOWN	12 h
MIN_FRIEND_UPDATE_INTERVAL	1 m
VIP_TICKETS_PER_OFFER_DIAMOND	0.2
TAP_TO_TRANSLATE_ENABLED	TRUE
DISNEY_EMOJI_DISABLED	FALSE
PING_INTERVAL	2 m
FRIEND_STAMINA_PER_BUY	30
MAX_DAILY_FRIEND_STAMINA_BUYS	40
UNBLOCK_USER_COOLDOWN	7 d
COSTUME_COST_THREADS	100
SKILL_POINT_HARD_CAP	2000
SKILL_EFFECT_SCALING_NEW	L
AUTO_CLAIM_MAIL_AFTER	31 d
TICKETLESS_RAID_TAX	2
CAMPAIGN_QUICKFIGHT_TAX	2
VIP_RAID_TICKET_UPSELL_COOLDOWN	1 d
LOADING_TIP_CYCLE_TIME	8 s
SKIP_FOUND_MERCHANT_POPUP	1
EMAIL_CHANGE_COOLDOWN	1 d
PROMOS_UNLOCK_STATE_TIMER	7 d
PROMOS_EVENT_MAX_REDEMPTION	10
STAMINA_RAID_CAP	25000
USE_ITEM_NORMAL_COUNT	10
USE_ITEM_ALT_COUNT	20
THREAD_COST_DEFAULT	100
THREAD_COST_PLATINUM	500
THREAD_COST_CHALLENGER	2000
MAILBOX_LIMIT	500
WEEKLY_RESET_DAY	4
MASS_LEVEL_UP_CHARACTER_COUNT	10
MASS_LEVEL_UP_MAX_UPDATE	9999
