	VALUE
POINTS_PER_LINEUP	1
POINTS_PER_CAR	100
SABOTAGE_PHASE_LENGTH	24 h
SABOTAGE_BAN_PHASE_LENGTH	12 h
BASE_CAR_SIZE	3
REMATCH_THRESHOLD	7
REMATCH_COST	200
LEAGUE_COST	0
WORST_REMATCH_SCALE	1
BEST_REMATCH_SCALE	0
ELO_K	200
ELO_N	2000
ELO_LOSS_BUFFER_THRESHOLD	500
MAX_PREVIOUS_WARS	20
NUM_SEASON_BOXES	5
NUM_PROMOTION_BOXES	3
ENABLED_SERVERS	1-25
TIMEOUTS	3
POSTER_DEPRECATION_TIME	1575158400000
NEW_DROP_TABLE_START	2020-11-01T11:01:00-06:00
WIN_COEFFICIENT	1.00
LOSE_COEFFICIENT	0.40
DRAW_COEFFICIENT	0.50
NORMALIZE_RATING_TO	599
DROP_BOOSTER_SMALL_GAIN	0.05
DROP_BOOSTER_MEDIUM_GAIN	0.10
DROP_BOOSTER_LARGE_GAIN	0.20
TOP_GUILDS_BASE_RATING	700
TOP_X_GUILDS_TO_BASE	10
TOP_GUILDS_RATING_DECREMENT	10
BYE_RATING_GAIN	50
STARTING_MMR	10
BAN_MAX_STREAK	2
BAN_COOLDOWN_LENGTH	2
BAN_SCALING_PER_RANK_DIFF	1
PROTECT_MAX_STREAK	2
PROTECT_COOLDOWN_LENGTH	2
PROTECT_SCALING_PER_RANK_DIFF	0
GUILD_WAR_SPARS	TRUE
GUILD_WAR_BAN_PROTECT	TRUE
RESET_HOUR	11
