	X
REDUCE_HP_PERCENT	33
REDUCE_BASIC_DAMAGE_PERCENT	50
REDUCE_SKILL_POWER_PERCENT	50
REDUCE_ENERGY_GAIN_PERCENT	75
DELAY_ARRIVAL	5
REDUCE_SPEED_PERCENT	60
REDUCE_F_CRIT_FLAT	400
REDUCE_N_CRIT_FLAT	400
REDUCE_ARMOR_PERCENT	50
REDUCE_REALITY_PERCENT	50
REDUCE_WHITE_LEVELS	60
REDUCE_GREEN_LEVELS	60
REDUCE_BLUE_LEVELS	60
REDUCE_PURPLE_LEVELS	60
REDUCE_ARMOR_NEGATION_FLAT	500
REDUCE_REALITY_NEGATION_FLAT	500
HALF_DISK_STARS	50
REDUCE_DISK_LEVELS	60
REDUCE_PATCH_LEVELS	10
DISABLE_BATTLE_BADGE	-1
REDUCE_RED_LEVELS	60
DISABLE_RED	-1
DISABLE_REAL_GEAR	-1
REDUCE_EVASION	180
REDUCE_TENACITY	180
