	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	8	1	WHITE	165	PORT_1	SOULLESS_SWORD_F,SOULLESS_SPLASH_F,SOULLESS_TURRET,SOULLESS_SWORD_F	SOULLESS_SWORD_F,VANELLOPE,SOULLESS_MAGE_F,JACK_JACK,SOULLESS_SPLASH_F	JACK_JACK,VANELLOPE,NICK_WILDE,YAX,JUDY_HOPPS
2	18	1	GREEN	190	PORT_1	SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	SOULLESS_BRUTE,NICK_WILDE,JACK_JACK,VANELLOPE,SOULLESS_MAGE_F	VANELLOPE,[boss]NICK_WILDE,JACK_JACK,YAX,FINNICK
3	27	1	GREEN_1	215	PORT_1	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_SPLASH_F,SOULLESS_SPLASH_F	SOULLESS_BRUTE,ELASTIGIRL,SOULLESS_MAGE_F,SOULLESS_SPLASH_F,VANELLOPE	ELASTIGIRL,[boss]VANELLOPE,YAX,FROZONE,[boss]JUDY_HOPPS
4	39	2	BLUE	240	PORT_1	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_SPLASH_F	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_SPLASH_F,YAX	NICK_WILDE,VANELLOPE,FROZONE,[boss]YAX,JUDY_HOPPS
5	53	2	BLUE_1	265	PORT_1	SOULLESS_BRUTE,SOULLESS_SPLASH_F,SOULLESS_SPLASH_F,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,FELIX,JACK_JACK,SOULLESS_MAGE_F	JACK_JACK,[boss]NICK_WILDE,YAX,FROZONE,FINNICK
6	61	2	PURPLE	290	PORT_1	SOULLESS_SWORD_F,SOULLESS_SPLASH_F,SOULLESS_SPLASH_F,SOULLESS_MAGE_F	FELIX,NICK_WILDE,SOULLESS_MAGE_F,SOULLESS_SPLASH_F,FROZONE	ELASTIGIRL,VANELLOPE,NICK_WILDE,YAX,[boss]FINNICK
7	70	3	PURPLE_1	315	PORT_1	SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_TURRET,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,ELASTIGIRL,SOULLESS_MAGE_F,NICK_WILDE	NICK_WILDE,ELASTIGIRL,JACK_JACK,YAX,[boss]VIOLET
8	74	4	PURPLE_2	340	PORT_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SPLASH_F,SOULLESS_MAGE_F	FELIX,SOULLESS_BRUTE,NICK_WILDE,YAX,SOULLESS_SWORD_F	VANELLOPE,JACK_JACK,NICK_WILDE,[boss]YAX,VIOLET
9	79	5	PURPLE_3	365	PORT_1	SOULLESS_BRUTE,SOULLESS_TURRET,SOULLESS_SWORD_F,SOULLESS_SWORD_F	FELIX,SOULLESS_SWORD_F,NICK_WILDE,SOULLESS_MAGE_F,SOULLESS_SWORD_F	ELASTIGIRL,VANELLOPE,NICK_WILDE,[boss]FROZONE,JUDY_HOPPS
10	84	5	PURPLE_4	390	PORT_1	FELIX,HADES,SOULLESS_MAGE_F,SOULLESS_GLASS_CANNON_F	SOULLESS_SWORD_F,SOULLESS_GLASS_CANNON_F,MIKE,YAX,HIRO	FELIX,[boss]SULLEY,SOULLESS_AUTOTURRET,NICK_WILDE,KEVIN_FLYNN
11	89	5	ORANGE	415	PORT_1	HADES,SOULLESS_TURRET,EMPEROR_ZURG,SOULLESS_SPLASH_F	FELIX,STITCH,SOULLESS_TURRET,SOULLESS_MAGE_F,YAX	SULLEY,SOULLESS_SWORD_F,JESSIE,ELASTIGIRL,[boss]SOULLESS_SPLASH_F
12	94	5	ORANGE_1	440	PORT_1	REX,JACK_JACK,SOULLESS_MAGE_F,JESSIE	REX,SULLEY,ELASTIGIRL,JESSIE,FROZONE	HADES,[boss]REX,JESSIE,SOULLESS_TURRET,SOULLESS_SPLASH_F
13	99	5	ORANGE_2	465	PORT_1	SULLEY,VANELLOPE,SOULLESS_TURRET,MIKE	SULLEY,NICK_WILDE,JESSIE,EMPEROR_ZURG,SOULLESS_BUG_F	[boss]SULLEY,REX,SOULLESS_GHOUL_F,NICK_WILDE,YAX
