	IRON_ORE	COPPER_ORE	SILVER_ORE	VOLCANIC_ORE
1	6-8	0	0	0
2	8-9	0	0	0
3	8-12	1	0	0
4	8-10	2-4	0	0
5	10-12	3	0	0
6	19-22	3	0-2	0
7	13-15	3-5	2-4	0
8	14-16	5-7	3-5	0
9	18-21	6-8	6-7	0
10	17-18	6-8	7-8	0
11	17-19	6-8	6-7	1
12	23-25	7-9	6-7	1
13	19-22	7-9	8-10	1
14	22-24	9-11	9-11	1
15	24-26	10-12	8-10	1-3
16	22-24	11-13	10-12	1-3
17	25-26	11-13	9-11	2-4
18	28-31	12-14	10-12	2-4
19	29-32	12-14	11-14	2-4
20	32-34	13-15	12-15	2-4
21	31-35	14-16	11-14	3-5
22	33-38	16-18	12-15	3-5
23	35-40	18-20	13-16	3-5
24	38-43	21-23	15-18	3-5
25	40-43	22-24	17-19	4-6
26	42-45	24-26	19-21	4-6
27	45-49	26-28	22-24	4-6
28	50-53	28-30	25-28	4-6
29	55-57	30-32	27-30	5-7
30	58-61	32-34	29-32	6-8
31	61-64	34-36	31-34	7-9
32	64-67	37-39	33-36	8-10
33	67-70	41-43	35-38	9-11
34	71-74	44-46	38-40	10-12
35	73-76	49-51	40-43	11-13
36	79-82	52-54	43-46	12-14
37	82-85	58-60	46-49	13-15
38	87-90	61-63	50-53	14-16
39	87-90	62-64	53-56	16-18
40	90-93	64-66	56-59	18-20
41	95-97	67-69	59-62	20-22
42	97-99	69-71	63-66	22-24
43	100	73-75	67-70	24-26
44	100	76-79	72-75	26-28
45	100	82-85	77-80	28-30
46	100	85-88	81-84	31-33
47	100	93-96	87-90	33-35
48	100	100	92-95	36-38
49	100	100	94-97	41-43
50	100	100	100	45-48
51	100	100	100	52-54
52	100	100	100	59-61
53	100	100	100	65-70
54	100	100	100	70-81
55	100	100	100	80-88
56	100	100	100	85-100
57	100-110	100-110	100-110	100-100
58	106-117	106-117	106-117	100-110
59	112-124	112-124	112-124	106-117
60	119-131	119-131	119-131	112-124
61	126-139	126-139	126-139	119-131
62	134-147	134-147	134-147	126-139
63	142-156	142-156	142-156	134-147
64	151-165	151-165	151-165	142-156
65	160-175	160-175	160-175	151-165
66	170-186	170-186	170-186	160-175
67	180-197	180-197	180-197	170-186
68	191-209	191-209	191-209	180-197
69	202-222	202-222	202-222	191-209
70	214-235	214-235	214-235	202-222
71	227-249	227-249	227-249	214-235
72	241-264	241-264	241-264	227-249
73	255-280	255-280	255-280	241-264
74	270-297	270-297	270-297	255-280
75	1087-1196	1087-1196	1087-1196	1027-1127
76	1413-1555	1413-1555	1413-1555	1335-1465
77	1837-2022	1837-2022	1837-2022	1736-1905
78	2388-2629	2388-2629	2388-2629	2257-2477
79	3104-3418	3104-3418	3104-3418	2934-3220
80	4035-4443	4035-4443	4035-4443	3814-4186
81	5246-5776	5246-5776	5246-5776	4958-5442
82	7607-8375	7607-8375	7607-8375	7189-7891
83	9889-10888	9889-10888	9889-10888	9346-10258
84	12856-14154	12856-14154	12856-14154	12150-13335
85	16713-18400	16713-18400	16713-18400	15795-17336
86	21727-23920	21727-23920	21727-23920	20534-22537
87	24986-27508	24986-27508	24986-27508	23614-25918
88	29983-33010	29983-33010	29983-33010	28337-31102
89	37479-41263	37479-41263	37479-41263	35421-38878
90	48723-53642	48723-53642	48723-53642	46047-50541
91	64650-71177	64650-71177	64650-71177	61101-67062
92	74348-81854	74348-81854	74348-81854	70266-77121
93	85500-94132	85500-94132	85500-94132	80806-88689
94	94050-103545	94050-103545	94050-103545	88887-97558
95	108158-119077	108158-119077	108158-119077	102220-112192
96	135198-148846	135198-148846	135198-148846	127775-140240
97	141958-156288	141958-156288	141958-156288	134164-147252
98	184545-203174	184545-203174	184545-203174	174413-191428
99	249136-274285	249136-274285	249136-274285	235458-258428
100	298963-329142	298963-329142	298963-329142	282550-310114
101	328859-362056	328859-362056	328859-362056	310805-341125
102	394631-434467	394631-434467	394631-434467	372966-409350
103	473557-521360	473557-521360	473557-521360	447559-491220
104	520913-573496	520913-573496	520913-573496	492315-540342
