	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	ROOT	1	1	? RollJackpot ? <JACKPOT> ? <NON_JACKPOT>	NumOfItems(1, 1)
2	DISPLAY	1	1	<HERO_MISC_DISPLAY>,<GENERIC_DISPLAY>	Shuffle
3	HERO_MISC_DISPLAY	1	1	[HERO_MISC_INNER]	Shuffle & NumOfItems(0,2)
4	GENERIC_DISPLAY	1	1	<GENERIC>	PickFirst
6	JACKPOT	1	1000	STONE_<@TARGET_HERO> {Jackpot=true}	
7	NON_JACKPOT	1	1	<$RollType$>	
9	HERO_CHIPS	15	100	STONE_<@TARGET_HERO>	
10	HERO_CHIPS	25	140	STONE_<@TARGET_HERO>	
11	HERO_CHIPS	30	180	STONE_<@TARGET_HERO>	
12	HERO_CHIPS	20	220	STONE_<@TARGET_HERO>	
13	HERO_CHIPS	10	300	STONE_<@TARGET_HERO>	
15	HERO_MISC	1	1	<HERO_MISC_INNER>	Try NumOfItems(1, 1)
16	HERO_MISC_INNER	20	1	<HERO_GEAR>	
17	HERO_MISC_INNER	65	1	? HighestHeroRarityTest(RED) ? <RED_SKILL_CHIPS> ?	
18	HERO_MISC_INNER	35	1	<HERO_MEMORIES>	
20	GENERIC	1	1	<GENERIC_INNER>	Try NumOfItems(1, 1)
21	GENERIC_INNER	450	1	<MOD_POWER>	
22	GENERIC_INNER	550	1	<DISK_POWER>	
23	GENERIC_INNER	600	1	<GOLD>	
24	GENERIC_INNER	450	1	? TeamLevelTest(10) ? <RED_SKILL_CRATES> ? <RED_SKILL_CRATES_MIN>	
25	GENERIC_INNER	550	1	<GEAR_TOKENS>	
26	GENERIC_INNER	500	1	<MEMORY_TOKENS>	
27	GENERIC_INNER	3	1	<GENERIC_JACKPOT>	
29	HERO_GEAR	1	1	<HERO_GEAR_INNER>, <HERO_GEAR_FALLBACK>	PickFirst & ScaleByItemRarity(4, 4, 4, 3, 2, 1)
30	HERO_GEAR_INNER	1	1	<BLUE_FULL>, <PURPLE_FULL>, <ORANGE_FULL>,<RED_FULL>,<YELLOW_FULL>,<EMERALD_FULL>	TargetHeroGear(4) & PickRandom
31	HERO_GEAR_FALLBACK	1	1	<BLUE_FULL>, <PURPLE_FULL>, <ORANGE_FULL>,<RED_FULL>,<YELLOW_FULL>,<EMERALD_FULL>	PickRandom
32	BLUE_FULL	25	1	<@BLUE_GEAR_NO_SHARDS_LIST>, <@BLUE_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
33	PURPLE_FULL	20	1	<@PURPLE_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
34	ORANGE_FULL	15	1	<@ORANGE_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
35	RED_FULL	5	1	<@RED_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
36	YELLOW_FULL	1	1	<@YELLOW_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
37	EMERALD_FULL	1	1	<@EMERALD_GEAR_NO_SHARDS_LIST>	RetainIf(AvailableItem)
39	RED_SKILL_CHIPS	1	1	? TeamLevelTest(10) ? <RED_SKILL_CHIPS_SCALING> ? <RED_SKILL_CHIPS_MIN>	
40	RED_SKILL_CHIPS_MIN	1	100	EPIC_CHIP_<@TARGET_HERO>	
41	RED_SKILL_CHIPS_SCALING	1	fn round(TeamLevel*2)	EPIC_CHIP_<@TARGET_HERO>	
43	HERO_MEMORIES	75	15	<@TARGET_HERO_MEMORIES>	RetainIf(NeededBit) & PickRandom
44	HERO_MEMORIES	20	20	<@TARGET_HERO_MEMORIES>	RetainIf(NeededBit) & PickRandom
45	HERO_MEMORIES	5	25	<@TARGET_HERO_MEMORIES>	RetainIf(NeededBit) & PickRandom
47	MOD_POWER	75	300	MOD_POWER	ScaleByTeamLevel
48	MOD_POWER	20	315	MOD_POWER	ScaleByTeamLevel
49	MOD_POWER	5	400	MOD_POWER	ScaleByTeamLevel
51	DISK_POWER	75	400	GEAR_JUICE	ScaleByTeamLevel
52	DISK_POWER	20	415	GEAR_JUICE	ScaleByTeamLevel
53	DISK_POWER	5	500	GEAR_JUICE	ScaleByTeamLevel
55	GOLD	75	800	GOLD	ScaleByTeamLevel & ScaleByTeamLevel
56	GOLD	20	815	GOLD	ScaleByTeamLevel & ScaleByTeamLevel
57	GOLD	5	900	GOLD	ScaleByTeamLevel & ScaleByTeamLevel
59	RED_SKILL_CRATES_MIN	75	10	RED_SKILL_CHEST_1X	ScaleByTeamLevel
60	RED_SKILL_CRATES	20	0.425	RED_SKILL_CHEST_1X	ScaleByTeamLevel
62	GEAR_TOKENS	75	200	GEAR_TOKENS	ScaleByTeamLevel
63	GEAR_TOKENS	20	250	GEAR_TOKENS	ScaleByTeamLevel
64	GEAR_TOKENS	5	300	GEAR_TOKENS	ScaleByTeamLevel
66	MEMORY_TOKENS	75	1250	MEMORY_TOKENS	
67	MEMORY_TOKENS	20	1875	MEMORY_TOKENS	
68	MEMORY_TOKENS	5	2500	MEMORY_TOKENS	
70	GENERIC_JACKPOT	1	30000	DIAMONDS	
